Mission ID	Mission Name	Mission Desc
65	البحث الميداني: نتوءات التعدين	اجمع من 15 نتوءات تعدين.
66	البحث الميداني: أكوام العظام	اجمع 15 من أكوام العظام.
67	البحث الميداني: النباتات	اجمع 8 عناصر نباتية.
68	البحث الميداني: الفطر	اجمع 8 عناصر فطر.
69	البحث الميداني: الحشرات	اجمع 7 عناصر حشرات.
70	البحث الميداني: العسل	اجمع عسلًا 7 مرات.
71	مسح بيئي: صيد وحوش ضخمة	صِد 3 وحوش ضخمة من الرتبة المرتفعة.
72	مسح بيئي: أسر وحوش ضخمة	قم بأسر وحشين ضخمين من الرتبة المرتفعة.
73	مسح بيئي: انتقاء وحوش صغيرة للقتل	اذبح 20 وحوش صغيرة ذات رتبة مرتفعة.
74	مسح بيئي: صيد تنين مجنح ذو أنياب	صِد تنينين مجنحين كبيرين ذوي أنياب من الرتبة المرتفعة.
75	مسح بيئي: أسر تنين مجنح ذو أنياب	قم بأسر تنين مجنح كبير ذي أنياب من الرتبة المرتفعة.
76	مسح بيئي: صيد تنين مجنح شبيه بالطيور	صِد تنينين مجنحين كبيرين شبيهين بالطيور من الرتبة المرتفعة.
77	مسح بيئي: أسر تنين مجنح شبيه بالطيور	قم بأسر تنين مجنح كبير شبيه بالطيور من الرتبة المرتفعة.
78	مسح بيئي: صيد تنين مجنح غاشم	صِد تنينين مجنحين كبيرين متوحشين من الرتبة المرتفعة.
79	مسح بيئي: أسر تنين مجنح غاشم	قم بأسر تنين مجنح كبير متوحش من الرتبة المرتفعة.
80	مسح بيئي: صيد تنين مجنح طائر	صِد تنينين مجنحين كبيرين طائرين من الرتبة المرتفعة.
81	مسح بيئي: أسر تنين مجنح طائر	قم بأسر تنين مجنح كبير طائر من الرتبة المرتفعة.
82	مسح بيئي: صيد تنين مجنح سباح	صِد تنينين مجنحين كبيرين سباحين من الرتبة المرتفعة.
83	مسح بيئي: أسر تنين مجنح سباح	قم بأسر تنين مجنح كبير سباح من الرتبة المرتفعة.
84	تقدم البحث: الغابة العتيقة	أكمل 3 مهام من الرتبة المرتفعة في الغابة العتيقة.
85	تقدم البحث: نفايات هياكل شرسة	أكمل 3 مهام من الرتبة المرتفعة في أنقاض الهياكل الشرسة.
86	تقدم البحث: المرتفعات المرجانية	أكمل 3 مهام من الرتبة المرتفعة في المرتفعات المرجانية.
87	تقدم البحث: الوادي المتعفن	أكمل 3 مهام من الرتبة المرتفعة في الوادي المتعفن.
88	تقدم البحث: مخبأ التنين المعمِر	أكمل 3 مهام من الرتبة المرتفعة في مخبأ التنين المعمِر.
89	تقدم البحث: الاستقصاءات	أكمل 3 استقصاءات من الرتبة المرتفعة.
90	مسح بيئي: انتقاء تنين معمِر للقتل	اذبح تنينين معمرين من الرتبة المرتفعة.
91	البحث الميداني: نتوءات التعدين	اجمع من 21 نتوءات تعدين.
92	البحث الميداني: أكوام العظام	اجمع 21 من أكوام العظام.
93	البحث الميداني: النباتات	اجمع 12 عنصرًا نباتيًا.
94	البحث الميداني: الفطر	اجمع 12 عنصر فطر.
95	البحث الميداني: الحشرات	اجمع 10 عناصر من الحشرات.
96	البحث الميداني: العسل	اجمع عسلًا 10 مرات.
97	مسح بيئي: صيد وحوش ضخمة	صِد 4 وحوش ضخمة من الرتبة المرتفعة.
98	مسح بيئي: أسر وحوش ضخمة	قم بأسر 3 وحوش ضخمة من الرتبة المرتفعة.
99	مسح بيئي: انتقاء وحوش صغيرة للقتل	اذبح 30 وحوش صغيرة ذات رتبة مرتفعة.
100	مسح بيئي: صيد تنين مجنح ذو أنياب	صِد 3 تنانين مجنحة كبيرة ذات أنياب من الرتبة المرتفعة.
101	مسح بيئي: أسر تنين مجنح ذو أنياب	قم بأسر تنينين مجنحين كبيرين ذوي أنياب من الرتبة المرتفعة.
102	مسح بيئي: صيد تنين مجنح شبيه بالطيور	صِد 3 تنانين مجنحة كبيرة شبيهة بالطيور من الرتبة المرتفعة.
103	مسح بيئي: أسر تنين مجنح شبيه بالطيور	قم بأسر تنينين مجنحين كبيرين شبيهين بالطيور من الرتبة المرتفعة.
104	مسح بيئي: صيد تنين مجنح غاشم	صِد 3 تنانين مجنحة كبيرة متوحشة من الرتبة المرتفعة.
105	مسح بيئي: أسر تنين مجنح غاشم	قم بأسر تنينين مجنحين كبيرين متوحشين من الرتبة المرتفعة.
106	مسح بيئي: صيد تنين مجنح طائر	صِد 3 تنانين مجنحة كبيرة طائرة من الرتبة المرتفعة.
107	مسح بيئي: أسر تنين مجنح طائر	قم بأسر تنينين مجنحين كبيرين طائرين من الرتبة المرتفعة.
108	مسح بيئي: صيد تنين مجنح سباح	صِد 3 تنانين مجنحة كبيرة سبّاحة من الرتبة المرتفعة.
109	مسح بيئي: أسر تنين مجنح سباح	قم بأسر تنينين مجنحين كبيرين سبّاحين من الرتبة المرتفعة.
110	مسح بيئي: انتقاء تنين معمِر للقتل	اذبح تنينين معمرين من الرتبة المرتفعة.
111	تقدم البحث: الغابة العتيقة	أكمل 4 مهام من الرتبة المرتفعة في الغابة العتيقة.
112	تقدم البحث: نفايات هياكل شرسة	أكمل 4 مهام من الرتبة المرتفعة في أنقاض الهياكل الشرسة.
113	تقدم البحث: المرتفعات المرجانية	أكمل 4 مهام من الرتبة المرتفعة في المرتفعات المرجانية.
114	تقدم البحث: الوادي المتعفن	أكمل 4 مهام من الرتبة المرتفعة في الوادي المتعفن.
115	تقدم البحث: مخبأ التنين المعمِر	أكمل 4 مهام من الرتبة المرتفعة في مخبأ التنين المعمِر.
116	تقدم البحث: الاستقصاءات	أكمل 4 استقصاءات من الرتبة المرتفعة.
117	تبادل حضاري: نفايات هياكل شرسة	قم بأسر 3 من الحماة.
118	تبادل حضاري: نفايات هياكل شرسة II	أبلغ الحماة في مستعمرتهم.
119	تبادل حضاري: لغويات غاجالاكا	اجمع 10 آثار خاصة بغاجالاكا.
120	تبادل حضاري: لغويات غاجالاكا II	اكتشف مستعمرة غاجالاكا.
121	مساعد بحث: أسر سمكة باريكساس الوردية	قم بأسر سمكة باريكساس وردية.
122	مساعد بحث: أسر سمكة السوشي	قم بأسر سمكة السوشي.
123	مساعد بحث: أسر سمكة البارود	قم بأسر سمكة بارود.
124	مساعد بحث: أسر السمكة الذهبية	قم بأسر سمكة ذهبية.
125	بحث النجدة: أسر سمكة بلاتينية	قم بأسر سمكة بلاتينية.
126	مساعد بحث: أسر خنفسة تريكس البرية	قم بأسر خنفسة تريكس البرية.
127	مساعد بحث: أسر النملة الناقلة	قم بأسر 9 نملات ناقلة.
128	مساعد بحث: أسر الدودة الضخمة	قم بأسر 3 ديدان ضخمة
129	مساعد بحث: أسر سكافانتولا	قم بأسر 5 من السكافانتولا.
130	مساعد بحث: أسر الخنفساء المتفجرة	قم بأسر خنفساء متفجرة.
131	مساعد بحث: أسر القديم	أسر الحياة المستوطنة المعروفة باسم المخلوق القديم للعالم الجديد.
132	مساعدة بحث: الطائر الشبح	أسر الحياة المستوطنة المعروفة باسم الطائر الشبح.
133	أعد بناء مخيم الغابة العتيقة	احمِ مكان التخييم.
134	مساعد بحث: أسر مخلوق	يجب أسر مخلوق من عالم آخر.(تلميح: يجب تفقّد الدليل الميداني للوحوش.)
135	مساعد بحث: أسر باريكساس زجاجية	أسر باريكساس زجاجية.
136	مساعد بحث: أسر سمكة غامضة	أسر سمكة غامضةمن نطاق الصقيع.
137	مساعد بحث: أسر بطريق منفوش	أسر ثلاثة بطاريق منفوشة.
138	مساعد بحث: أسر حيوان غامض	أسر حياة مستوطنة غامضةمن نطاق الصقيع.
139	مساعد بحث: أسر سمكة وِت	يجب أسر سمكة وِت بحجم تاجٍ ذهبي.
140	مساعد بحث: أسر أروانا متفجرة	يجب أسر أروانا متفجرة بحجم تاجٍ ذهبي.
141	مساعد بحث: أسر سمكة باريكساس زجاجية	يجب أسر سمكة باريكساس زجاجية بحجم تاج ذهبي.
142	مساعد بحث: أسر أوغرفلاي	يجب أسر أوغرفلاي بحجم تاجٍ ذهبي.
143	مساعد بحث: أسر طائر مرجاني متأنق	يجب أسر طائر مرجاني متأنق بحجم تاجٍ ذهبي.
144	مساعد بحث: أسر بطريق منفوش	يجب أسر بطريق منفوش بحجم تاجٍ ذهبي.
145	بحث ميداني: نتوءات التعدين	نقّب 12 مرة في نتوءات التعدين.
146	بحث ميداني: أكوام العظام	اجمع 12 مرة من أكوام العظام.
147	بحث ميداني: النباتات	اجمع النباتات 8 مرات.
148	بحث ميداني: الفطر	اجمع الفطر 8 مرات.
149	بحث ميداني: الحشرات	اجمع حشرات 6 مرات.
150	بحث ميداني: العسل	اجمع عسلًا 6 مرات.
151	مسح بيئي: صيد وحوش ضخمة	صيد 3 وحوش ضخمة من رتبة المتميز.
152	مسح بيئي: أسر وحوش ضخمة	يلزم أسر 3 وحوش ضخمة من رتبة المتميز.
153	مسح بيئي: انتقاء وحوش صغيرة للقتل	اذبح 10 وحوش صغيرة من رتبة المتميز.
154	مسح بيئي: صيد تنين مجنح ذي أنياب	صيد تنينين مجنحين كبيرين ذوي أنياب منرتبة المتميز.
155	مسح بيئي: أسر تنين مجنح ذي أنياب	يلزم أسر تنينين مجنحين كبيرين ذوي أنياب من رتبة المتميز.
156	مسح بيئي: صيد تنين مجنح شبيه بالطيور	صيد تنينين مجنحين كبيرين شبيهين بالطيور منرتبة المتميز.
157	مسح بيئي: أسر تنين مجنح شبيه بالطيور	يلزم أسر تنينين مجنحين كبيرين شبيهين بالطيور من رتبة المتميز.
158	مسح بيئي: صيد تنين مجنح غاشم	صيد تنينين مجنحين كبيرين غاشمين منرتبة المتميز.
159	مسح بيئي: أسر تنين مجنح غاشم	يلزم أسر تنينين مجنحين كبيرين غاشمين من رتبة المتميز.
160	مسح بيئي: صيد تنين مجنح سبّاح	صيد تنينين مجنحين كبيرين سبّاحين منرتبة المتميز.
161	مسح بيئي: أسر تنين مجنح سبّاح	يلزم أسر تنينين مجنحين كبيرين سبّاحين من رتبة المتميز.
162	تقدم البحث: الغابة العتيقة	إكمال مهمتين من رتبة المتميز في الغابة العتيقة.
163	تقدم البحث: أنقاض الهياكل الشرسة	إكمال مهمتين من رتبة المتميز في أنقاضالهياكل الشرسة.
164	تقدم البحث: المرتفعات المرجانية	إكمال مهمتين من رتبة المتميز فيالمرتفعات المرجانية.
165	تقدم البحث: الوادي المتعفن	إكمال مهمتين من رتبة المتميز في الوادي المتعفن.
166	تقدم البحث: مخبأ التنين المعمِر	إكمال مهمتين من رتبة المتميز في مخبأالتنين المعمِّر.
167	تقدم البحث: الاستقصاءات	أكمل استقصاءين من رتبة المتميز.
168	تقدم البحث: نطاق الصقيع	إكمال مهمتين من رتبة المتميز في نطاق الصقيع.
169	مسح بيئي: صيد تنين مجنح طائر	صيد تنينين مجنحين كبيرين طائرين من رتبة المتميز.
170	مسح بيئي: أسر تنين مجنح طائر	يلزم أسر تنينين مجنحين كبيرين طائرين من رتبة المتميز.
171	مسح بيئي: صيد وحوش ضخمة	صيد 6 من الوحوش الكبيرة من رتبة المتميز.
172	مسح بيئي: صيد تنين مجنح ذي أنياب	صيد 4 تنانين مجنحة كبيرة ذات أنياب منرتبة المتميز.
173	مسح بيئي: صيد تنين مجنح شبيه بالطيور	صيد 4 تنانين مجنحة كبيرة شبيهة بالطيور منرتبة المتميز.
174	مسح بيئي: صيد تنين مجنح غاشم	صيد 4 تنانين مجنحة غاشمة كبيرة من رتبة المتميز.
175	مسح بيئي: صيد تنين مجنح طائر	صيد 4 تنانين مجنحة كبيرة طائرة من رتبة المتميز.
176	مسح بيئي: صيد تنين مجنح سبّاح	صيد 4 تنانين مجنحة كبيرة سبّاحة من رتبة المتميز.
177	مسح بيئي: انتقاء تنين معمِّر للقتل	اذبح تنينين معمِّرين من رتبة المتميز.
178	مسح بيئي: انتقاء تنين معمِّر للقتل	اذبح 4 تنانين معمِّرة من رتبة المتميز.
179	المسح البيئي: صيد وحش غاضب	صيد 2 من الوحوش الغاضبة الكبيرة من رتبة المتميز.
180	المسح البيئي: صيد وحش غاضب	صيد 4 من الوحوش الغاضبة الكبيرة من رتبة المتميز.
181	تبادل حضاري: نطاق الصقيع	يجب الانطلاق في بعثة في نطاق الصقيعوصيد وحش كبير.
182	تبادل حضاري: نطاق الصقيع II	يجب الذهاب إلى مخبأ بوابواوحضور اجتماع مجلسهم.
183	تبادل حضاري: نطاق الصقيع III	يجب إكمال مهمة 2م<ICON STAR_1>بقوانا مجتمعة.
