Item ID	Item Name	Item Type	Rare	Item Desc
105	زعنفة سمكة وِت+	Item	3	زعنفة سمكة تُستخدم لشحذ الأسلحة.تعمل بشكل أفضل من المَسن، ويمكنإعادة استخدامها إن كنت محظوظًا.
106	قشرة سمكة السوشي	Item	1	قشرة من سمك السوشي. تناولهالتستعيد كمية صغيرة من الصحة.تُستخدم أيضًا في علاج النزيف.
107	قشرة سمك السوشي العظيم	Item	3	قشرة من سمك السوشي الضخم.تناولها لتعزز صحتك بشكل كبير وتعزز الشفاءالطبيعي وتعالج النزيف.
108	قشرة سمكة البارود	Item	2	قشرة من سمك البارود. امزجهامع برميل متفجر ضخم كي تزيدبشكل كبير من قوته النارية.
109	قشرة سمك البارود العظيم	Item	3	قشرة من سمك البارود العظيم.قم بمزجها مع برميل متفجر ضخملعمل برميل متفجر هائل.
110	قشرة الأروانا المتفجرة	Item	1	قشرة من الأروانا المتفجرة.امزجها مع عشب النار لصنع كمية كبيرةمن بارود المستوى 2.
111	قشرة الأروانا المتفجرة الضخمة	Item	3	قشرة من الأروانا المتفجرة الضخمة.امزجها مع عشب النار لصنع كمية هائلةمن بارود المستوى 2.
112	قشرة أروانا مفجِرة	Item	1	قشرة من الأروانا المفجِرة.امزجها مع عشب النار لصنع كميةكبيرة من بارود المستوى 3.
113	قشرة أروانا مفجِرة عظيمة	Item	3	قشرة من الأروانا المفجِرة العظيمة.امزجها مع عشب النار لصنع كميةهائلة من بارود المستوى 3.
114	حجر الشحذ	Item	3	حجر شحذ من الحجم القياسي.استخدمه لاستعادة حدة السلاح.
115	شبكة أسر	Item	3	شبكة يمكن إطلاقها مننبلة المعصم. استخدمها للقبضعلى المخلوقات الصغيرة.
116	صنارة صيد	Item	3	أداة تُستخدم للصيد.
117	عصا شواء	Item	3	ما تحتاج إليه لطهي اللحم. عنصرلا بد لأي صيّاد جائع منالحصول عليه.
118	عباءة غيلي	Item	3	اختبئ عن الأنظار بشكل مؤقت.سينتهي التأثير إذا قمت بشنهجوم أو تلقيت ضررًا.
119	عباءة مؤقّتة	Item	3	تبطل مفعول الضررمن الهجمات القويةعن طريق التفادي التلقائي.
120	معزز الصحة	Item	3	بمجرد ارتطامه بالأرض، يطلقسحابة شفاء تستعيد تدريجيًاصحة مَن يقف بداخلها.
121	عباءة ثابتة	Item	3	تصمد أمام هجمات محددة،وتوفر لك حماية ضد ضغط الرياحوالأزيز والاهتزاز. وتقلل من الضرر.
122	عباءة المتحدّي	Item	3	تجذب الوحوش لك، مما يسهّلمن استدراجها لموقع أفضل.
123	عباءة الحيوية	Item	3	تبطل مفعول كمية محددة من الضرر.ينتهي التأثير إذا تمت الإصابةبكمية أكبر من هذه الكمية.
124	عباءة مقاومة للنيران	Item	3	تقلل من ضرر عنصر الناروتبطل مفعول وباء النارووباء الانفجار وضرر الحرارة.
125	عباءة مقاومة للماء	Item	3	تقلل من ضرر عنصر الماءوتبطل مفعول وباء الماء والوحل.وتجعلك تجتاز المياه العميقة أسهل.
126	عباءة مقاومة للثلج	Item	3	تقلل من ضرر عنصر الثلجوتبطل مفعول وباء الثلج.
127	عباءة مقاومة للرعد	Item	3	تقلل من ضرر عنصر الرعد.وتبطل مفعول وباء الرعد والشلل.
128	عباءة مقاومة للتنين	Item	3	تقلل من ضرر عنصر التنين,وتبطل مفعول وباء التنين أثناء زيادةهجوم عنصر التنين.
129	معزز المطهِر	Item	3	بمجرد ارتطامه بالأرض، يطلقسحابة شفاء تعالج أي حالة غريبةلمَن يقف بداخلها.
130	عباءة الطيران	Item	3	تمدد من وقت القفز في الهواء،وتجعلك تركب الرياح القويةوتسهّل من امتطاء الوحوش.
131	عباءة التفادي	Item	3	تزيد من مدة المناعةضد الأفعال المراوغة. راوغ الهجماتفي اللحظة الأخيرة لتعزيز الهجوم.
132	عباءة التصادم	Item	3	تضيف قيمة صعق لمعظم الهجماتوتعزز من تأثير الهجماتالتي تسبب الصعق.
133	عباءة الصيدلي	Item	3	تزيد من احتمالية مشاركةالأسلحة ذات الهجمات الخاصةفي تعزيز قوة الهجوم.
134	عباءة الحصانة	Item	3	تجتاز كل الوضعيات الغريبةوتمنح حصانة منهالمدة محدودة.
135	معزز النسبة	Item	3	بمجرد ارتطامه بالأرض، يطلقسحابة تعزز من النسبةلك ولأعضاء فريقك المحيطين بك.
136	عباءة قاطع الطريق	Item	3	تجعل الهجمات ضد الوحوش الضخمةتُسقط عناصر نادرة وقيّمة للمبادلة.
137	ذخيرة عادية 1	Ammo or Coating	3	ذخيرة للمبتدئين.تتم المهمة، ولكنها لاتحتوي على الكثير من السحر.
138	ذخيرة عادية 2	Ammo or Coating	1	ذخيرة غير متخصصة. أقوى منالذخيرة العادية 1.السعة: 99
139	ذخيرة عادية 3	Ammo or Coating	2	ذخيرة مصنوعة من بارود عالي الجودةكل طلقة تلحق ضررًا شديدًا.السعة: 99
140	ذخيرة ثقب 1	Ammo or Coating	0	ذخيرة ثاقبة للدروع تلحقضربات متعددة لبعض الوحوش.السعة: 60
141	ذخيرة ثقب 2	Ammo or Coating	1	ذخيرة ثاقبة للدروع مطوّرة.تلحق ضربات أكثر من ذخيرة ثاقب 1.السعة: 60
142	ذخيرة ثقب 3	Ammo or Coating	2	ذخيرة ثاقبة للدروع عالية الجودة.تلحق ضربات متعددة.السعة: 60
143	ذخيرة منتشرة 1	Ammo or Coating	0	ذخيرة تغطّي مساحة واسعة.تلحق ضربات متعددة من مدى قريب.السعة: 80
144	ذخيرة منتشرة 2	Ammo or Coating	1	ذخيرة مطوّرة تغطّي مساحة واسعة.تلحق ضربات متعددة أكثر من ذخيرةمنتشرة 1. السعة: 70
145	ذخيرة منتشرة 3	Ammo or Coating	2	ذخيرة عالية الجودة تغطّيمساحة واسعة وتلحق ضربات متعددة.السعة: 60
146	ذخيرة لزجة 1	Ammo or Coating	0	ذخيرة قوية تصيب هدفًاوتنفجر. وتصعق أيضًا.السعة: 9
147	ذخيرة لزجة 2	Ammo or Coating	1	ذخيرة قوية جدًا تصيب هدفًاوتنفجر. وتصعق أيضًا.السعة: 9
148	ذخيرة لزجة 3	Ammo or Coating	2	ذخيرة في شدة القوة تصيب هدفًاوتنفجر. وتصعق أيضًا.السعة: 9
149	قنبلة عنقودية 1	Ammo or Coating	1	ذخيرة تنقسم إلى ثلاث قذائفعند التصادم. احذر النيران الصديقة!السعة: 3
150	قنبلة عنقودية 2	Ammo or Coating	2	ذخيرة تنقسم إلى أربع قذائفعند التصادم. احذر النيران الصديقة!السعة: 3
151	قنبلة عنقودية 3	Ammo or Coating	3	ذخيرة تنقسم إلى خمس قذائفعند التصادم. احذر النيران الصديقة!السعة: 3
152	الذخيرة الملتهبة	Ammo or Coating	1	ذخيرة تؤثر بشدة علىالوحوش سريعة التأثر بالنيران.السعة: 60
153	ذخيرة الماء	Ammo or Coating	1	ذخيرة تؤثر بشدة علىالوحوش سريعة التأثر بالماء.السعة: 60
154	ذخيرة الرعد	Ammo or Coating	1	ذخيرة تؤثر بشدة علىالوحوش سريعة التأثر بالرعد.السعة: 60
155	ذخيرة التجميد	Ammo or Coating	1	ذخيرة تؤثر بشدة علىالوحوش سريعة التأثر بالثلج.السعة: 60
156	ذخيرة التنين	Ammo or Coating	2	ذخيرة مليئة بقوة التنين تؤثر بشدةعلى الوحوش الضعيفة أمام التنانين.السعة: 3
157	ذخيرة سامة 1	Ammo or Coating	1	تسمم الأهداف، ولكنقد تتطلب محاولات عدة.السعة: 12
158	ذخيرة سامة 2	Ammo or Coating	2	ذخيرة معززة تصيب بالسم.تتطلب بعض الأهداف محاولات عدة.السعة: 12
159	ذخيرة الشلل 1	Ammo or Coating	1	ذخيرة تسبب الشلل.تتطلب بعض الأهداف محاولات عدة.السعة: 12
160	ذخيرة الشلل 2	Ammo or Coating	2	ذخيرة معززة تسبب الشلل.تتطلب بعض الأهداف أكثر من طلقة.السعة: 8
161	ذخيرة النوم 1	Ammo or Coating	1	ذخيرة تسبب النوم.تتطلب بعض الأهداف محاولات عدة.السعة: 12
162	ذخيرة النوم 2	Ammo or Coating	2	ذخيرة معززة تسبب النوم.تتطلب بعض الأهداف محاولات عدة.السعة: 8
163	ذخيرة الإرهاق 1	Ammo or Coating	1	ذخيرة خاصة تستنزفقوة تحمل الوحوش.السعة: 12
164	ذخيرة الإرهاق 2	Ammo or Coating	2	ذخيرة محسّنة تستنزفقوة تحمل الوحوش.السعة: 8
165	ذخيرة الاسترداد 1	Ammo or Coating	1	ذخيرة تستعيد كمية صغيرة منالصحة لحليف ما عند التصادم.السعة: 12
166	ذخيرة الاسترداد 2	Ammo or Coating	2	ذخيرة تستعيد كمية متوسطة منالصحة لحليف ما عند التصادم.السعة: 12
167	ذخيرة التنين المجنح	Ammo or Coating	2	ذخيرة تكوّنت من خلال أعوام منالبحث في نيران التنين المجنح.السعة: 5
168	ذخيرة تقطيع	Ammo or Coating	1	ذخيرة تلقي بنصال حادةعند التصادم. بإمكانها قطع الذيول.السعة: 30
169	ذخيرة تهدئة	Ammo or Coating	2	ذخيرة بندقية القوس تُستخدم لأسرالوحوش الواقعين في فخاخ.السعة: 8
170	ذخيرة العفريت	Ammo or Coating	3	ذخيرة تملئ الهدفبكميات وحشية من القوة.السعة: 5
171	ذخيرة درع	Ammo or Coating	3	ذخيرة تجعل جلدالهدف صلبًا كالحجر.السعة: 5
172	(بلا)	Ammo or Coating	0	Unavailable
173	غطاء ذو مدى قريب	Ammo or Coating	3	سهام مصممة لإلحاق ضرر أكبربالأهداف القريبة، مقابل تقليلالمدى الأقصى.
174	قارورة فارغة	Item	0	قارورة فارغة قديمة وتقليدية.لا أكثر ولا أقل.
175	غطاء القوة	Ammo or Coating	1	غطاء سهم يزيدمن قوة هجوم السهام.السعة: 50
176	غطاء السم	Ammo or Coating	2	غطاء سهم يضيف تأثيراتالسم إلى السهام.السعة: 20
177	غطاء الشلل	Ammo or Coating	2	غطاء سهم يضيف تأثيراتالشلل إلى السهام.السعة: 20
178	غطاء النوم	Ammo or Coating	2	غطاء سهم يسبب النوم.السعة: 20
179	غطاء الإرهاق	Material	3	غطاء سهم يسبب استنزافالسهام لقوة تحمل الوحوش.السعة: 20
180	غطاء الانفجار	Ammo or Coating	2	غطاء سهم يضيف مسحوقًامتفجرًا للأسهم.السعة: 20 
181	علاج الإسعافات الأوليّة	Item	0	يستعيد كمية صغيرة من الصحة.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
182	علاج الإسعافات الأوليّة+	Item	1	يستعيد كمية متوسطة من الصحة.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
183	مؤونة إز	Item	0	يستعيد كمية صغيرة من قوة التحمل.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
184	مسحوق حياة إز	Item	1	ينشئ سحابة شفاء حولالمنطقة فتعالج أي شخصيقترب منها. <STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
185	جرعة إز القصوى	Item	1	تستعيد كامل الصحة وتزيد من مقياس الصحة.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
186	برميل إز متفجر ضخم	Item	2	برميل متفجر ضخم مقوّى.بنفس قوة البرميل المتفجر الهائل.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
187	فخ الصدمة إز	Item	2	يشل من حركة الهدفلتسهيل القبض عليه.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
188	فخ حفرة إز	Item	2	يُفعِّل حفرةً للإمساك بالوحوش.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
189	مسحوق إز العشبي	Item	3	يعالج من السم ويستعيد بعضالصحة لكل من في الجوار.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
190	مسحوق إز العفريتي	Item	3	يقوي الهجمات بشكل مؤقتلكل من في الجوار.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
191	مسحوق إز الصلب	Item	3	يزيد قوة الدفاع بشكل مؤقتلكل من في الجوار.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
192	كبسولة روث إز	Item	1	تطلق رائحة قوية عند التصادم.تجعل بعض الوحوش تلوذ بالفرار.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
193	كبسولة وميض إز	Item	1	ذخيرة نبلة المعصم التي تومض بشدةعند التصادم.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
194	كبسولة صراخ إز	Item	1	ذخيرة نبلة المعصم التي تُصدردويًا يصم الآذان.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
195	سكين الرمي	Item	0	سكين يمكن إطلاقه بنبلة المعصمويمكن تغطيته بمجموعة مختلفةمن مواد كيميائية. <STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
196	سكين السم	Item	1	سكين مغطى بالسمويمكن إطلاقه بنبلة المعصم خاصتك.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
197	سكين النوم	Item	1	سكين مغطى بمنومويمكن إطلاقه بنبلة المعصم الخاصة بك.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
198	سكين الشلل	Item	1	سكين مغطى بمادة سامة تسبب الشللويمكن إطلاقه بنبلة المعصم الخاصة بك.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
199	السكين المهدئ	Item	2	سكين مغطى بمهدئويمكن إطلاقه بنبلة المعصم الخاصة بك.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
200	ناقل إز البعيد	Item	2	استدعِ وينغدرايك وانتقللأقرب معسكر.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
201	قنبلة إز المهدئة	Item	2	قنبلة يدوية تستخدم لأسرالوحوش الواقعين في الفخاخ.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
202	ذخيرة الباليستا	Ammo or Coating	3	ذخيرة للباليستاالضخم.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
203	حاجز الطلقة الواحدة	Ammo or Coating	3	ذخيرة المنجليق التي تعيق الأهداف.تستخدم مرة واحدة، وليست لهافترة خمود. <STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
204	ذخيرة المدفع	Item	3	ذخيرة فولاذ مصنوعة لصيد التنانينالضخمة. تمثل عناءً حقيقيًا في جرها.<STYL MOJI_YELLOW_DEFAULT>(عنصر إمدادات)</STYL>
205	خام الحديد	Material	3	خام يمكن إذابته إلى معدنواستخدامه في عدة أغراض مختلفة.
206	خام ماكالايت	Material	3	خام يصعب الحصول عليهأكثر من خام الحديد.ينتج معدنًا فاخرً.
207	خام الدراغونايت	Material	3	خام ينتج معدنًا أفضل من الذيينتجه الماكالايت. لا يقدر بثمنفي صناعة الدروع قوية التحمل.
208	خام الكربالايت	Material	5	خام استُخرج من النتوءات الصخرية.لا يزال قيد البحث، ولكنهمعروف باحتوائه معدنًا نقيًا.
209	خام الصهر	Material	5	خام مصدره مخبأ التنين المعمِر.معدن غامض، يُمكن القول أنهقادر على صهر أي مادتين معًا.
210	بلور الأرض	Material	3	ميكروبات متبلورة تُهدىكمادة كاشطة عند تشكيل الأسلحة.موجود أساسًا في أنقاض الهياكل الشرسة.
211	البلور المرجاني	Material	3	بلور يُهدى في ورشة الحدادة للاستخدامفي المواد الكاشطة عالية المستوى.موجودة أساسًا في المرتفعات المرجانية.
