回放ID	回放名称	回放描述
EVC0064	火中泳動的龍	獵人在灼熱熔岩沸騰的洞窟內前進，忽然感覺到不安定的氣息。這時隨著地鳴聲一同出現的是……
EVC0065	危險的車輪	在龍結晶之地馳騁的危險車輪。帶著熱氣的岩石衝散到四周，與獵人的距離逐漸逼近……
EVC0029	冥底的屍套龍	群聚吞吃屍肉的凶顎龍們發現獵人接近，開始威嚇。然而在背後，堆積如山的屍肉開始怪異地蠢蠢欲動。
EVC0030	鋼鐵的鋼龍	意識凝聚在地面突出的結晶群的瞬間，激烈的龍捲風將結晶捲起，然後開始襲擊獵人。
EVC0031	爆炎的炎王龍	獵人在灼熱熔岩滾動的洞窟內前進，遭遇了激烈業火的襲擊。好不容易躲過之後等在前方的究竟是……
EVC0032	於整束之地	透過龍人族的獵人的引導，一行人抵達整束了地脈流動能量的地方。然而，在那裡的卻是……
EVC0033	調查結束	獵人在激鬥的最後，擊退不知其名的存在。雖然也試著從開始倒塌的地方脫離……
EVC0035	大團圓	經過漫長時間，調查團終於解開古龍遷徙這現象所隱藏的真正祕密。此時公會更傳來了極佳的捷報。
EVC0036	前往新大陸	即使解開了古龍遷徙之謎，新大陸還很寬闊。生存在這裡的獵人們將會無窮無盡地奔馳下去。
EVC0066	背負火山之龍	震動大氣，動搖大地，不知該邁向何處的巨大古龍。其身影正如火山一般。
EVC0067	此乃古龍之王	貪食流轉於新大陸的龐大能量後，尊為此世之王者，終於誕生。
EVC0068	此世的終末	瘴氣之谷……最適合以此世的終末來形容的異樣之地。從屍肉漂出的有毒瘴氣會侵蝕身體。
EVC0070	貪吃的恐暴龍	一行人為了調查恐暴龍而造訪古代樹森林，卻有一場大災難就在那裡等候著接待員……
EVC0071	站在炎王旁邊的是	在打盹的炎王龍前面，突然現身的滅盡龍。就在這兩隻對峙的古龍互相衝突的瞬間現身的是......
EVC0072	包覆金色鎧甲之物	絢輝龍在陽光照耀的洞窟裡蠢蠢欲動，那身影猶如一塊被注入生命的巨大黃金。
EVC0074	來自艾歐澤亞的訪客	獵人追著奔跑的仙人掌，發現了謎樣的藍色石頭和長著絨毛的生物。同時，還出現了一頭同樣盯上石頭的搔鳥。
EVC0075	降臨新大陸的魔獸	巨大隕石從天而降，四周地帶陷入了灼熱爆風的包圍中。獵人急忙趕往現場查探，然而迎接他們的卻是未知的魔獸…。
EVC0078	利維亞的傑洛特	狩魔獵人傑洛特出現在新大陸。調查團將變異的調查，委託在異世界中專門對付怪物的他……。
EVC0079	潛藏在森林的異世界怪物	終於查出古代樹森林中變異擴散的原因。能自在地操控地盤內的魔物的異世界怪物，其名為鹿首精。
EVC0080	從異界之傳送門中出現的怪物	來到古代樹森林的是棲息在異世界森林的古代鹿首精。讓凶豺龍群輕易臣服的樣子，簡直像是森林的支配者。
EVC0081	變異的結尾	擊退鹿首精並託付了《獵人的符文石》，傑洛特離開了星辰。古代樹森林中還殘存著小小的變異……。
EVC0082	變異的結局～族長的致謝～	幫助了被詛咒的族長，順利免於擔任族長位置的傑洛特，體驗了奇面族獨特的感謝之舞……。
EVC0083	變異的結局～嬌小的朋友～	擊退鹿首精後，傑洛特離開了星辰。然後一隻他所幫助的德特爾，乘著毒妖鳥現身致謝。
EVC0084	變異的結局～委託完成～	幫助了奇面族與毒妖鳥，並解決了所有變異的傑洛特，通過鹿首精留下的傳送門，離開了新大陸。
EVC1000	前兆	接獲古代樹森林有風漂龍出沒的報告後，接待員與獵人決定一同前往調查。跟著痕跡一路尾隨，最後看到的會是……
EVC1001	前往嶄新的大地	獵人們朝風漂龍飛去的方向前進。究竟海的另一頭是什麼樣的世界呢？
EVC1040	銀白世界	獵人和接待員順利降落新調查地點，映入眼簾的是一整片銀白雪景。
EVC1002	深雪之影	獵人與接待員為尋找熱氣球降落地點，展開探索之旅。在抵達一塊寬廣的區域後，卻發現未曾見過的痕跡。
EVC1003	前線據點月辰	調查團降落在獵人們發現的新大陸。就在大家正忙著設置新據點的同時，總司令現身了。
EVC1004	永霜凍土	被霜雪覆蓋、永久冰封的凍土大地。前方等待著獵人的是……
EVC1005	猛牛龍的強襲	為了確保運送隊安全，獵人前往永霜凍土進行探索。探索的前方道路都被砍下的樹木擋住了。
EVC1006	充滿活力幹勁的月辰	隨著運送隊的到來，月辰變得更加熱鬧了。歸來的獵人們也和調查班隊長打了招呼。
EVC1007	暗中逼近的腳步聲	在遷徙之地進行調查的原野大師與獵人們的背後，正緊跟著鎖定目標、靜靜朝獵物逼近的痺毒龍。
EVC1008	時光靜止的船舶	在探險的旅途中，獵人們發現了古老的船隻。這艘船究竟是為了什麼，又是何時來到了此地呢？
EVC1009	催眠飛龍	獵人為調查亞種而來到大蟻塚荒地，卻無端出現強烈睡意。在意識矇矓中看到的是……
EVC1010	嗜水之妖	貓蜥龍包圍住入侵領地範圍的水妖鳥並予以威脅。但入侵者卻絲毫不為所動地為所欲為……
EVC1011	冰凍暴雪之謎	為了搜索原野大師和接待員，獵人前往了永霜凍土。卻在暴風雪中發現了冰凍的翼龍。
EVC1012	冰之龍	接待員們順利與獵人再次見面。才剛確認調查結果沒多久，就傳來一陣歌聲，隨之而來的是漫天狂舞的風雪……
EVC1013	迅影	獵人們前往古代樹之森進行調查，卻遭受迅龍襲擊，並遇上突然闖入的火龍。這場爭鬥究竟鹿死誰手……
EVC1014	身經百戰之刃	雌火龍回到了巢穴療傷。獵人查看狀況的同時，更強大的威脅也正默默逼近其身後。
EVC1015	生命的頑抗	獵人與接待員回到了星辰。兩人在那看到的是冰凍的蠻顎龍。
EVC1016	迴盪山谷的轟響	骨鎚龍使出敏捷的旋轉與突進，對貪嗜獵物的轟龍展開襲擊。然而，兩者之間的實力之差卻是一目了然。
EVC1017	逼近的黏菌威脅	獵人留意到龍結晶之地的地面一片焦黑。前方出現的爆鎚龍全身都附著黏菌……
EVC1018	月之石	接待員凝視著月之石。從祖父手中收下的這顆石頭，將對她傳達什麼樣的訊息呢？
EVC1019	絕對零度的吐息	全身圍繞寒氣的冰呪龍。牠的氣息使大地冰封，振翅將把世界變成一片銀白。
EVC1020	刺骨寒氣的擁抱	冰呪龍受到獵人攻擊後應聲倒下。當獵人接近，冰呪龍的周圍開始受凍霧包圍…
EVC1021	追尋	獵人與接待員追蹤著冰呪龍，進而來到永霜凍土進行探索。另一方面，至今仍行蹤不明的原野大師的安危也……
EVC1022	被託付的希望	原野大師在獵人救援下平安獲救。她看著接待員，想起了自己的過去而泛起笑容。
EVC1025	強酸之刃	一群凶顎龍包圍著硫斬龍準備展開攻擊。最後卻被硫斬龍的猛刃打得落花流水。
EVC1026	捕食者的地盤爭奪	為尋找獵物而徘徊在陸珊瑚台地的慘爪龍。正朝獵人們怒目吐氣。此時背後傳來了咆嘯，其他殺氣騰騰的身影也同時逼近。
EVC1027	月辰防衛戰	想辦法在擊龍杭砲做好發射準備前擋住冰呪龍的猛攻！月辰防衛戰的結果究竟……？
EVC1028	追擊的烽火	獵人們成功擊退了冰呪龍。正當大夥鬆了一口氣時，調查班隊長宣達了接下來該完成的事。
EVC1029	追擊的結果	追著冰呪龍行蹤的獵人踏進了永霜凍土。雙方再次相見，命運對決的結果究竟會……？
EVC1030	持續變異的大地	兩人討伐冰呪龍並且解開了月之石的謎團。但在短暫欣喜過後，龍人族的獵人卻帶來了動盪的消息。
EVC1031	災禍的新痕跡	獵人在龍結晶之地發現了滅盡龍的痕跡。就在打算開始調查之時，從天落下了熊熊燃燒的爆裂物……
EVC1032	霧瘴屍套龍	四處飄散瘴氣，散發異樣氣氛的古代樹森林。屍套龍一面前進，一面噴出瘴氣影響周圍環境的一切。
EVC1033	溟海之光	當閃爍虹光的雙翼映入獵人眼簾的瞬間，隨即被捲入謎樣的水流之中。回神甦醒時卻看到了……
EVC1034	朝遠方不斷前行	坐上熱氣球前往調查「偉大的存在」精銳隊員中，卻不見強烈渴望解開真相的原野大師身影……
EVC1035	偉大的存在	獵人於決戰之地擊退了滅盡龍。此時卻響起一陣歌聲，「偉大的存在」也隨之現身。
EVC1036	大自然的力量	在與天地煌啼龍的死鬥中勝出後，調查團的夥伴們也前來聚集。面對大自然的力量，他們看到的是……
EVC1037	月亮與希望之蒼藍星	自從風漂龍開始的一連串調查行動，就在揭開「偉大的存在」神秘面紗後落幕了。懷著永無止境的求知心，獵人們談天說地著。
EVC1038	永無止境的尋求	一夜團聚過後，調查團又動身前往下一個調查據點。
EVC1041	前往聚魔之地	獵人們追蹤著滅盡龍，然而意外映入眼簾的，是充滿生物多樣性的生命搖籃。
EVC1042	擠身於三強之間	獵人探索聚魔之地時發現了大量飛舞的成群雷光蟲。就在火龍現身眼前之時，更強大的威脅正擊襲而來。
EVC1043	絕不退讓的地盤之爭！	為爭奪地盤而怒氣沖沖的黑狼鳥，面對的是正好飢腸轆轆的恐暴龍。被捲入其中的獵人究竟會……
EVC1044	步步進逼的強者威脅	大團長在探索聚魔之地途中，站在導蟲有所反應的巨大岩壁前深思著。就在這時，新的威脅又從背後悄然而至…！
EVC1045	殘酷可怕的獅子	發現了熔岩地帶的獵人們，遇到了正進入警戒狀態的麒麟。究竟是什麼讓牠聚精會神緊盯遠方…？
EVC1046	全新的凍土	獵人們在聚魔之地發現了新地帶，同時也找到了遺留在凍土大地上的全新痕跡…。
EVC1047	異變的源頭	在大團長和龍人族的獵人的引導下，獵人們試著找出異變的原因。從現有的狀況來看，很可能是…。
EVC1048	完全體	盤踞幽谷與人對峙的禍害，銳利的眼神睥睨一切渺小的生命。
EVC1052	冥赤龍再臨	災厄再次降臨幽谷，這塊土地的天命，就交給蒼藍星了。
EVC1050	大地化身的示現	「偉大的存在」就在地脈之流的終點咆嘯著。渾身披滿巨岩，只要一動就能搖撼大地，宛如大地的化身。
