Achieve ID	Achieve Name	Achieve Desc
044	POMOCY!	Wystrzel flarę alarmową pierwszy raz.
045	Wsparcie to ja	Zareaguj na flarę alarmowąi pomóż ukończyć 10 zadań.
046	Zjednoczeni łowcy	Ukończ zadanie w trybiewieloosobowym.
047	Wiecznie zjednoczeni łowcy	Ukończ 100 zadań w trybiewieloosobowym.
048	Głoszenie słowa	Zbierz ponad 50 kart Gildii.
049	Uznany łowca	Osiągnij 100. poziom łowcy.
000doc3	Zestaw trofeów Monster Hunter: World.	Invalid Message
050	Zdobywca Zaziemia	Odblokuj wszystkie medale w MonsterHunter World: Iceborne.
051	Początek nowej ekspedycji	Zdobądź prawo do wykonywaniazleceń rangi mistrzowskiej 1<ICON STAR_1>.
052	Żarty się skończyły	Zdobądź prawo do wykonywaniazleceń rangi mistrzowskiej 2<ICON STAR_1>.
053	Nieuchwytny Starszy Smok	Zdobądź prawo do wykonywaniazleceń rangi mistrzowskiej 3<ICON STAR_1>.
054	Niezłomny duch	Zdobądź prawo do wykonywaniazleceń rangi mistrzowskiej 4<ICON STAR_1>.
055	Stary Wiecznosmok	Zdobądź prawo do wykonywaniazleceń rangi mistrzowskiej 5<ICON STAR_1>.
056	Koniec i początek	Rozwikłaj zagadkę Starego Wiecznosmoka.
057	Do krainy odkryć	Dotrzyj na Ziemie Przewodnie.
058	Ewoluujący ekosystem	Ulepsz dowolny region do poziomu 7.
059	W poszukiwaniu rzadkich materiałów	Zbieraj materiały z rzadkich złóżi stert kości.
060	Nienasycony badacz	Zbadaj 50 specjalnych śladów.
061	Zwieńczenie losu	Zabij Niszczycielskiego Nergiganta naZiemiach Przewodnich i usuń ograniczeniemaksymalnej rangi mistrzowskiej.
062	Mistrz eksploracji	Załóż wszystkie obozy na SzronistymBrzegu.
063	Źródło odprężenia	Spędź czas w gorącym źródle.
064	Neofita pazura chwytnego	Naucz się używać pazura chwytnego.
065	Złoty blask	Złap stworzenie ze złotym blaskiemna Szronistym Brzegu.
066	Przyjazny wskazywacz	Złap stworzenie, które na coś wskazuje.
067	Urocza melodia	Złap stworzenie wydające z siebiepiękną melodię.
068	Zanurzona tajemnica	Złap tajemnicze stworzenie kryjące siępod powierzchnią wody.
069	Niebiańskie złudzenie	Złap fantastyczne stworzenie płynącepo niebie.
070	Sprawny Kopacz	Złap stworzenie, które uwielbia kopaćdziury w ziemi.
071	Ziemskie stworzenia	Złap kopiące dziury stworzenie w każdymregionie.
072	Niezachwiana obrona	Zdobądź pięć niezwykle rzadkichelementów pancerza.
073	Druzgocący atak	Zdobądź pięć niezwykle rzadkich broni.
074	Osobisty skarb	Przymocuj swoje pierwsze zdobienie.
075	Pierwsza jazda	Przejedź się na ogonowcu po raz pierwszy.
076	Doświadczony jeździec	Wielokrotnie przejedź się na ogonowcu.
077	Początkujący kolekcjoner	Znajdź pierwszy skarb.
078	Doświadczony kolekcjoner	Znajdź wszystkie skarby na jednymobszarze.
079	Kolekcjoner nad kolekcjonerami	Znajdź wszystkie skarby.
080	Odnawiacz	Pierwszy raz zmień wystrój pokoju.
081	Projektant wnętrz	Miej 50 różnych elementów wystrojupokoju do wyboru.
082	Artysta architektury	Miej 120 różnych elementów wystrojupokoju do wyboru.
083	Gorliwy inżynier	Pomóż przy machinie parowej 20 razy.
084	Prawdziwy paromistrz	Wywołaj kumulację w machinie parowej.
085	Kolejna miniaturowa korona	Zdobądź 1. miniaturową koronęza złapanie przedstawiciela lokalnejfauny w randze mistrzowskiej.
086	Kolejna ogromna korona	Zdobądź pierwszą złotą koronęza złapanie przedstawiciela lokalnejfauny w randze mistrzowskiej.
087	Początkujący obserwator	Ukończ pierwsze zleceniedla Badacza Lynianów.
088	Bystry obserwator	Ukończ wiele zleceńdla Badacza Lynianów.
089	Pomocny łowca	Udziel pomocy łowcy niskiego lubwysokiego poziomu w 10 zadaniachjako łowca rangi mistrzowskiej.
090	Mistrz mistrzów	Osiągnij rangę mistrzowskąna poziomie 200.
091	Władca potworów	Osiągnij maksymalny poziom badań prawiewszystkich dużych potworów.
092	Prawdziwy kolekcjoner minikoron	Zdobądź miniaturową koronę za niemalwszystkie potwory w rejestrze łowów.
093	Prawdziwy kolekcjoner dużych koron	Zdobądź złotą koronę za niemalwszystkie potwory w rejestrze łowów.
094	Początek prawdziwych łowów	Upoluj pierwszego dużego potworaw zadaniu rangi mistrzowskiej.
095	Łowiecki talent	Upoluj 100 dużych potworów w zadaniachrangi mistrzowskiej.
096	Mistrz łapania	Złap 50 dużych potworów w zadaniachrangi mistrzowskiej.
097	Mistrz zabijania	Zabij 50 Starszych Smoków w zadaniachrangi mistrzowskiej.
098	Starcie z nieznanym	Upoluj pierwszego nietypowego potwora.
099	Wszystko już było	Upoluj 30 nietypowych potworów.
