Gallery ID	Gallery Name	Gallery Desc
EVC0063	Kryształowy łasuch	W sercu lśniącej jaskini, żarłocznaDodogama pożera kryształy. Nienasycona,przenosi swoją uwagę na łowcę.
EVC0027	Czarna strzała	Łowca w końcu staje do walki zpożeraczem Starszych Smoków,przerażającym Nergigantem.
EVC0028	Wiecznie rosnące zagadki	Mimo, że Łowca zwyciężył w boju zNergigantem, nie wszystkietajemnice zostały rozwiązane.
EVC0064	Magmowa wiwerna	Napięcie rośnie, gdy gorąca, wypełnionalawą jaskinia zaczyna trząść się podstopami łowcy.
EVC0065	Pędzący grom	Gigantyczne, podobne do głazu kołomknie przez Zacisze Starszych,zostawiając za sobą żarzące się skały.
EVC0029	Piekielny bies Vaal Hazak	Stado Girrosów przerywa swoją ucztę,by zająć się łowcą, nieświadome tego, cowije się za nimi między trupami.
EVC0030	Kushala Daora, stalowy smok	Wir powietrzny wyrywa łowcę z krótkiegosnu na jawie w fortecy zbudowanej zlśniących kryształów.
EVC0031	Piekielna Teostra	Krocząc przez wypełniony lawą tunel,łowca wytrzymuje gwałtowne podmuchyognia, by odnaleźć...
EVC0032	Gdzie łączą się nici życia	Drużyna dociera do serca WiecznegoStrumienia, gdzie czeka nieznana istota,która pulsuje w swym kokonie...
EVC0033	Misja wykonana	Po zażegnaniu zagrożenia ze stronynienazwanego potwora łowca wycofuje się,gdy wszystko zaczyna się walić.
EVC0035	Zakończenie	Tajemnica Migracji Starszych wreszciezostała rozwiązana. Wszyscy świętują,gdy pojawia się obwieszczenie Gildii...
EVC0036	Ku nowym lądom	Jedna z tajemnic została rozwikłana,ale łowcy wędrują nadal, a ich drogaprowadzi po same krańce Nowego Świata.
EVC0066	Wulkaniczny kolos	Gigantyczny Starszy Smok niczym żywywulkan wolno zmierza do nieznanego celu,a od jego kroków trzęsie się ziemia.
EVC0067	Imperator Starszych Smoków	Narodziła się nowa istota. Pulsującenergią z Wiecznego Strumienia, wydajez siebie przerażający krzyk.
EVC0068	Koniec ziemi	Gnijąca Dolina: poskręcany pejzaż trupówi trujących wyziewów, które wyżerajątrzewia każdemu, kto się tam zapuści.
EVC0070	Nienasycony Deviljho	Podczas gdy większość Komisjinie ma wstępu do Starodrzewu, naprzewodniczkę czyha istny koszmar.
EVC0071	Wierna cesarzowa	Przed odzyskującym siły Teostrą pojawia sięNergigant. Oba Starsze Smoki szykują się dodecydującej bitwy, gdy wyłania się cesarzowa.
EVC0072	Pełzające złoto	Wpadające do jaskini światło ukazujepomrukujące stworzenie, które kształtemprzypomina górę złota.
EVC0074	Gość z Eorzei	W pogoni za kaktuarem łowca napotykatajemniczy błękitny kryształ, Kulu-Ya-Kui dziwne futrzaste stworzenie!
EVC0075	Bestia zstępuje	Ogromny meteoryt rozbija się i obracaokolicę w zgliszcza. Łowca rusza namiejsce, gdzie czeka nieznana bestia...
EVC0078	Geralt z Rivii	Wiedźmin Geralt przybywa do NowegoŚwiata. Komisja zleca mu zbadanietajemniczego zdarzenia.
EVC0079	Stwór z innego świata	Dziwne zdarzenia w Starodrzewie sąsprawką Leszego, stwora kontrolującegowszystko na swoim terytorium.
EVC0080	Potwór z portalu	Starożytny leszy przybywa do Starodrzewu.Natychmiast przejmuje kontrolę nad żyjącymi tam Jagrasami.
EVC0081	Koniec: Zagadka wyjaśniona	Geralt pokonuje Leszego i zostawia ci runę łowcy,po czym opuszcza Asterę. Pozostaje jedna zagadka...
EVC0082	Koniec: Dar wodza	Geralt zdejmuję klątwęz wodza, a Gajalakowieodwdzięczają się występem.
EVC0083	Koniec: Mały przyjaciel	Geralt pokonuje Leszego, a gdy szykuje się do opuszczenia Astery,na Pukei-Pukei przybywa Grimalkin z darem.
EVC0084	Koniec: Zadanie ukończone	Po uratowaniu wodza Gajalakówi Pukei-Pukei Geralt wraca do swojegoświata przez portal Leszego.
EVC1000	Pomruki	Łowca i Przewodniczka ruszajądo Starodrzewu zbadać doniesieniao pojawieniu się Legian.
EVC1001	Odejścia i odkrycia	Komisja rusza w pościg statkiempowietrznym za stadem Legian.Co czeka za morzem?
EVC1040	Świat bieli	Na Łowcę i Przewodniczkę czeka nanowo odkrytym lądzie świat wypełnionyoślepiającym bielą śniegiem.
EVC1002	Cień wśród śniegów	Poszukiwania miejsca lądowania trwają,ale na obiecującej polanie na śniegu znajdują się jakieś dziwne nowe ślady.
EVC1003	Seliana	Statek powietrzny ląduje w znalezionymmiejscu i zaczyna się budowa nowej bazypod kierownictwem Dowódcy.
EVC1004	Kraina Wiecznego Lodu	Nieskazitelnie czysty ląd, od wiekówskuty lodem. Co czeka tu na Łowcę?
EVC1005	Szał Banbaro	Zabezpieczając szlak zaopatrzeniowy naSzronistym Brzegu, para bohaterów napotykaprzeszkodę w postaci powalonych drzew.
EVC1006	Seliana się rozkręca	Przybycie konwoju dodaje impetu budowieSeliany, a Dowódca Zespołu Polowegowyznacza zadania.
EVC1007	Polująca żmija	Do bohaterów w Zaziemiu dołączaTropicielka, ale w mroku czyhaŻmijowy Tobi-Kadachi.
EVC1008	Okręt zastygły w czasie	Odkrycie starego wraku okrętuna Brzegu. Kiedy i dlaczego statekdotarł w to miejsce?
EVC1009	Atak drzemki	Wkrótce po przybyciu na PustkowieDzikowieży, by zbadać nowy podgatunek,Łowca pada w objęcia drzemki...
EVC1010	Potok kłopotów	Shamosy otaczają Koralowego Pukei-Pukei,rozjuszone wtargnięciem na ich teren,ale intruz nic sobie z tego nie robi.
EVC1011	Bestia w zamieci	Poszukując na Szronistym BrzeguPrzewodniczki i Tropicielki, Łowcanatrafia na zamrożone skrzydłosmoki.
EVC1012	Lodowa wiwerna	Gdy tylko Przewodniczka i Tropicielkaprzedstawiają swoje odkrycia,rozlega się śpiew i zrywa się zamieć.
EVC1013	Szybki cień	Prowadząc śledztwo w Starodrzewie, Łowcawpada w zasadzkę Nargacuga. NagleRathalos postanawia się wtrącić...
EVC1014	Ostrze wykute w boju	Rathiana wraca do leża lizać rany.Tymczasem coś jeszcze groźniejszegopodkrada się do Łowcy.
EVC1015	Opór żyjących	Łowca i Przewodniczka wracają doAstery, gdzie czeka ogromnecielsko zamrożonego Anjanatha.
EVC1016	Grom w kanionie	Radobaan napotyka zwalistegopadlinożercę Tigrexa i wkrótce wychodzina jaw, który gatunek jest dominujący.
EVC1017	Lepkie zagrożenie	Skrawki spalonej ziemi w ZaciszuStarszych prowadzą Łowcę doBrachydiosa, pokrytego zielonym śluzem.
EVC1018	Księżycowy kamień	Przewodniczka ogląda okruch otrzymany oddziadka, pochodzący podobno z księżyca.Jakie tajemnice w sobie kryje?
EVC1019	Zero bezwzględne	Pojawia się Velkhan w lodowym pancerzu.Każdym oddechem zamraża ziemię, auderzeniem skrzydeł wznieca zamieć.
EVC1020	Uścisk mrozu	Śmiertelny cios Łowcy powala Velkhana,ale ciało Starszego spowija złowieszczyobłok zabójczego mrozu.
EVC1021	Mroźna pogoń	Dwójka bohaterów rusza za Velkhanemna Szronisty Brzeg. Ale Przewodniczkiwciąż nie ma...
EVC1022	Odziedziczone pragnienie	Dwójka bohaterów odnajduje żywąTropicielkę. W zapłakanej Przewodniczceweteranka widzi siebie z dawnych lat.
EVC1025	Żrąca zagwozdka	Stado Girrosów otacza KwasowegoGlavenusa, ale ten rozgania jeuderzeniami swojego ostrego ogona.
EVC1026	Starcie drapieżników	Odogaron polujący na Pogórzu Koralowymzasadza się na Łowcę, kiedy nagle za ichplecami rozlega się ryk.
EVC1027	Obrona Seliany	Odpieraj zaciekłe ataki Velkhana, dopókiNiszczyciel Smoków nie będzie gotowy!Los Seliany jest w twoich rękach!
EVC1028	Przejście do ofensywy	Seliana cieszy się z odparcia Velkhana,a Dowódca Zespołu Polowegoprzedstawia następny krok.
EVC1029	Na końcu bitwy	Łowca wyrusza na Szronisty Brzegw pogoni za Velkhanem.Jaki los jest im pisany?
EVC1030	Katastrofy nienaturalne	Velkhan zostaje pokonany i wyjaśnia siętajemnica okrucha. Ale świętowanieprzerywają złe wieści Poszukiwacza.
EVC1031	Ślady nadchodzącego nieszczęścia	Łowca znajduje w Zaciszu Starszych kolceNergiganta – chwilę później okolicęzasypują czerwone wybuchowe odłamki.
EVC1032	Welonowy Vaal Hazak	Starodrzew spowija odrażający wyziew,gdy pojawia się w nim Vaal Hazak.
EVC1033	Światło z otchłani	Wzrok Łowcy przyciągają skrzydłapulsujące światłem we wszystkich barwachtęczy, a następnie strumień wody...
EVC1034	Naprzód, bez wahania	Zespół wsiada do statku powietrznego,by szukać Starego Wiecznosmoka, ale bezTropicielki, która przyrzekła go znaleźć.
EVC1035	Stary Wiecznosmok	Gdy Łowca z trudem wygrywa starcie z Nergigantem,rozlega się dziwna pieśń, zwiastująca bliskośćStarego Wiecznosmoka.
EVC1036	Moc natury	Przy ciele pokonanego Shar Ishvaldado Łowcy dołączają inni, ale natura maw zanadrzu jeszcze jedną niespodziankę.
EVC1037	Księżyc i Szafirowa Gwiazda	Komisja wspomina poszukiwania, którezaczęły się po migracji Legian i zawiodłyją na trop Starego Wiecznosmoka.
EVC1038	Poszukiwania bez końca	Nocna uroczystość dobiegła końca,Komisja zaś zaczyna przygotowywać siędo kolejnego śledztwa.
EVC1041	Naprzód, do Ziem Przewodnich	W pogoni za Nergigantem dwójka bohaterówdotarła do źródła życia Nowego Świata,w którym mieszają się różne gatunki.
EVC1042	Między młotem a kowadłem	Podczas eksploracji Ziem Przewodnich,Łowca natyka się na chmarę gromuszek,Rathalosa i coś jeszcze groźniejszego.
EVC1043	To mój teren!	Gdy Yian Garuga, który broni swojegoterenu, trafia na głodnego Deviljho,Łowca ląduje między młotem a kowadłem.
EVC1044	Czyhająca potęga	Admirał bada Ziemie Przewodnie ze świetlikamizwiadowczymi i dociera do olbrzymiej ściany.Za nim pojawia się nowe, straszliwe zagrożenie!
EVC1045	Zażarty Rajang	Wśród wulkanów Ziem Przewodnich łowca odkrywapodenerwowanego Kirina. To jednak nie łowcajest powodem niepokoju bestii...
EVC1046	Nowa tundra	Łowca odkrywa na Ziemiach Przewodnichnowy region i znajduje świeże, nieznaneślady odciśnięte w śniegu...
EVC1047	Przyczyna kłopotów	Drużyna, prowadzona przez Admirałai Wiwerianina, odkrywa, że stworzeniestojące za ostatnimi wydarzeniami to...
EVC1048	Istota doskonała	Zło napotkane w wąwozie przenikliwymwzrokiem spogląda na stojąceprzed nim istotki.
EVC1052	Powrót Safi'jiiva	Nieszczęście z wąwozu powracai los tej krainy jest w rękachSzafirowej Gwiazdy.
EVC1050	Awatar ziemi	Stary Wiecznosmok wyje z samego sercaWiecznego Strumienia. Pokryty kamiennympancerzem, każdym ruchem wstrząsa ziemią.
