Quest ID	Quest Name	Quest Target	Fail Condition
00401	Tenter l'impossible	Compléter la mission	Temps imparti écouléS'évanouir 3 fois
00405	Vole, Paolumu !	Chasser un Paolumu	Temps imparti écouléS'évanouir 3 fois
00407	Radobaan récalcitrant	Chasser un Radobaan	Temps imparti écouléS'évanouir 3 fois
00408	Sus au Legiana	Chasser un Legiana	Temps imparti écouléS'évanouir 3 fois
00431	Arène spéciale : Anjanath	Chasser un Anjanath	Temps imparti écouléS'évanouir 3 fois
00432	Arène spéciale : Rathian	Chasser une Rathian	Temps imparti écouléS'évanouir 3 fois
00433	Arène spéciale : Paolumu	Chasser un Paolumu	Temps imparti écouléS'évanouir 3 fois
00434	Arène spéciale : Radobaan	Chasser un Radobaan	Temps imparti écouléS'évanouir 3 fois
00451	Sacrée sinusite	Chasser un Anjanath	Temps imparti écouléS'évanouir 3 fois
00452	Costaud de la Forêt	Livrer 2 œufs de wyverne	Temps imparti écouléS'évanouir 3 fois
00461	Déménagement royal	Chasser une Rathian	Temps imparti écouléS'évanouir 3 fois
00471	Shamos à bosses	Abattre 11 Shamos	Temps imparti écouléS'évanouir 3 fois
00472	Tout sur le Tzitzi	Chasser un Tzitzi-Ya-Ku	Temps imparti écouléS'évanouir 3 fois
00473	Fête privée	Chasser un Paolumu	Temps imparti écouléS'évanouir 3 fois
00474	Ormeaux à gogo	Livrer 10 ormeaux nacrés	Temps imparti écouléS'évanouir 3 fois
00475	Monstre blanc et blanc manteau	Capturer un Paolumu	Temps imparti écouléS'évanouir 3 foisPaolumu tué
00481	Nuisibles nocifs	Abattre 14 Hornetaur	Temps imparti écouléS'évanouir 3 fois
00482	Tour pendable	Chasser un Grand Girros	Temps imparti écouléS'évanouir 3 fois
00483	Tombés sur un os	Chasser un Radobaan	Temps imparti écouléS'évanouir 3 fois
00484	Des cauchemars et des ailes	Abattre 5 Raphinos	Temps imparti écouléS'évanouir 3 fois
00501	Dans les entrailles du Val	Compléter la mission	Temps imparti écouléS'évanouir 3 fois
00502	Un trône ardent dans les cimes	Chasser un Rathalos	Temps imparti écouléS'évanouir 3 fois
00503	Tyran à cornes sous le sable	Chasser un Diablos	Temps imparti écouléS'évanouir 3 fois
00504	Une tâche colossale	Compléter la mission	Temps imparti écouléS'évanouir 3 foisZorah Magdaros non guidé
00531	Arène spéciale : Legiana	Chasser un Legiana	Temps imparti écouléS'évanouir 3 fois
00532	Arène spéciale : Odogaron	Chasser un Odogaron	Temps imparti écouléS'évanouir 3 fois
00533	Arène spéciale : Rathalos	Chasser un Rathalos	Temps imparti écouléS'évanouir 3 fois
00534	Arène spéciale : Diablos	Chasser un Diablos	Temps imparti écouléS'évanouir 3 fois
00551	Envie ou obsession ?	Chasser un Rathalos	Temps imparti écouléS'évanouir 3 fois
00552	Équipe de choc	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
00561	Deux flèches sur le sable	Chasser un Diablos	Temps imparti écouléS'évanouir 3 fois
00571	Migraine moite	Chasser un Legiana	Temps imparti écouléS'évanouir 3 fois
00572	Disparu en un éclair	Abattre un Kirin	Temps imparti écouléS'évanouir 3 fois
00581	Soulagement	Chasser un Odogaron	Temps imparti écouléS'évanouir 3 fois
00582	Le meilleur ennemi de l'homme	Capturer un Odogaron	Temps imparti écouléS'évanouir 3 foisOdogaron tué
00583	Échec et matériaux	Livrer 2 morceaux de viande	Temps imparti écouléS'évanouir 3 fois
00601	Intrusion dans le Désert	Chasser un Pukei-Pukei	Temps imparti écouléS'évanouir 3 fois
00605	La vie en rose	Chasser un Anjanath	Temps imparti écouléS'évanouir 3 fois
00607	Vestige du Vieux Monde	Compléter la mission	Temps imparti écouléS'évanouir 3 fois
00631	Arène spéciale : Pukei-Pukei	Chasser un Pukei-Pukei	Temps imparti écouléS'évanouir 3 fois
00632	Arène spéciale : Barroth	Chasser un Barroth	Temps imparti écouléS'évanouir 3 fois
00633	Arène spéciale : Tobi-Kadachi	Chasser un Tobi-Kadachi	Temps imparti écouléS'évanouir 3 fois
00634	Arène spéciale : Anjanath	Chasser un Anjanath	Temps imparti écouléS'évanouir 3 fois
00635	Arène spéciale : Rathian	Chasser une Rathian	Temps imparti écouléS'évanouir 3 fois
00636	Arène spéciale : Paolumu	Chasser un Paolumu	Temps imparti écouléS'évanouir 3 fois
00637	Arène spéciale : Radobaan	Chasser un Radobaan	Temps imparti écouléS'évanouir 3 fois
00641	D'un Z qui veut dire Zorah	Guider le Zorah Magdaros	Temps imparti écouléS'évanouir 3 foisZorah Magdaros non guidé
00651	Dur à avaler	Chasser un Grand Jagras	Temps imparti écouléS'évanouir 3 fois
00652	Monstre vert aux gros yeux	Chasser un Pukei-Pukei	Temps imparti écouléS'évanouir 3 fois
00653	Une expérience hérissante	Chasser un Tobi-Kadachi	Temps imparti écouléS'évanouir 3 fois
00654	Immobile ? Invisible !	Chasser un Anjanath	Temps imparti écouléS'évanouir 3 fois
00655	La reine endormie	Chasser une Rathian	Temps imparti écouléS'évanouir 3 fois
00656	Aucune prudence	Capturer un Tobi-Kadachi	Temps imparti écouléS'évanouir 3 foisTobi-Kadachi tué
00661	Bas les pattes !	Chasser un Kulu-Ya-Ku	Temps imparti écouléS'évanouir 3 fois
00662	Une couronne de boue et de furie	Chasser un Barroth	Temps imparti écouléS'évanouir 3 fois
00663	Embuscade de Pukei-Pukei	Chasser un Pukei-Pukei	Temps imparti écouléS'évanouir 3 fois
00665	Boue mouvante	Chasser un Jyuratodus	Temps imparti écouléS'évanouir 3 fois
00666	Désert brun, reine verte	Chasser une Rathian	Temps imparti écouléS'évanouir 3 fois
00667	Intolérable intrus	Chasser un Anjanath	Temps imparti écouléS'évanouir 3 fois
00671	Dites Ouistiti !	Chasser un Tzitzi-Ya-Ku	Temps imparti écouléS'évanouir 3 fois
00672	Chasse au Paolumu	Chasser un Paolumu	Temps imparti écouléS'évanouir 3 fois
00681	Comme pétrifié	Chasser un Grand Girros	Temps imparti écouléS'évanouir 3 fois
00682	Roulé-boulé	Chasser un Radobaan	Temps imparti écouléS'évanouir 3 fois
00683	Quête Cuistot : Gonflette à gogo	Livrer 4 fossiles oubliés	Temps imparti écouléS'évanouir 3 fois
00684	Quête Cuistot : Procédure putride	Abattre 10 Girros	Temps imparti écouléS'évanouir 3 fois
00691	Aidez-miaou !	Abattre 13 Gastodon	Temps imparti écouléS'évanouir 3 fois
00692	Actualité ardente	Abattre 5 Barnos	Temps imparti écouléS'évanouir 3 fois
00693	Opération Dodogama	Chasser un Dodogama	Temps imparti écouléS'évanouir 3 fois
00694	Quête Cuistot : Objectif Gajalaka	Battre 10 Gajalaka	Temps imparti écouléS'évanouir 3 fois
00701	L'instant de vérité	Tuer le Nergigante	Temps imparti écouléS'évanouir 3 fois
00731	Arène spéciale : Rathian sakura	Chasser une Rathian sakura	Temps imparti écouléS'évanouir 3 fois
00732	Arène spéciale : Legiana	Chasser un Legiana	Temps imparti écouléS'évanouir 3 fois
00733	Arène spéciale : Odogaron	Chasser un Odogaron	Temps imparti écouléS'évanouir 3 fois
00734	Arène spéciale : Uragaan	Chasser un Uragaan	Temps imparti écouléS'évanouir 3 fois
00735	Arène spéciale : Rathalos	Chasser un Rathalos	Temps imparti écouléS'évanouir 3 fois
00736	Arène spéciale : Rathalos azur	Chasser un Rathalos azur	Temps imparti écouléS'évanouir 3 fois
00737	Arène spéciale : Diablos	Chasser un Diablos	Temps imparti écouléS'évanouir 3 fois
00738	Arène spéciale : Diablos noire	Chasser une Diablos noire	Temps imparti écouléS'évanouir 3 fois
00751	Rathalos, le retour	Chasser un Rathalos	Temps imparti écouléS'évanouir 3 fois
00752	Apocalypse azur	Chasser un Rathalos azur	Temps imparti écouléS'évanouir 3 fois
00753	En rouge et bleu	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
00761	Nuances de rose	Chasser une Rathian sakura	Temps imparti écouléS'évanouir 3 fois
00762	Petit diable, va !	Chasser un Diablos	Temps imparti écouléS'évanouir 3 fois
00763	Bis-cornu	Chasser une Diablos noire	Temps imparti écouléS'évanouir 3 fois
00764	Désordre désertique	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
00771	Vent rouge sur les récifs	Chasser une Rathian sakura	Temps imparti écouléS'évanouir 3 fois
00772	Legiana, le roi des hauts-plateaux	Chasser un Legiana	Temps imparti écouléS'évanouir 3 fois
00773	Gros casse-pied	Chasser un Odogaron	Temps imparti écouléS'évanouir 3 fois
00774	D'ire et de glace	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
00781	Odogaron en vadrouille	Chasser un Odogaron	Temps imparti écouléS'évanouir 3 fois
00791	Lavasioth, monstre de magma	Chasser un Lavasioth	Temps imparti écouléS'évanouir 3 fois
00792	Croque-minerai	Chasser un Uragaan	Temps imparti écouléS'évanouir 3 fois
00793	Souverain des cieux	Chasser un Rathalos azur	Temps imparti écouléS'évanouir 3 fois
00794	Champ de flammes	Chasser un Bazelgeuse	Temps imparti écouléS'évanouir 3 fois
00795	Rencontre enflammée	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
00801	Kushala Daora, dragon d'acier	Abattre le Kushala Daora	Temps imparti écouléS'évanouir 3 fois
00802	Teostra, roi des flammes	Abattre le Teostra	Temps imparti écouléS'évanouir 3 fois
00803	Vaal Hazak, faucheur de l'ombre	Tuer le Vaal Hazak	Temps imparti écouléS'évanouir 3 fois
00804	Là où tout converge	Compléter la mission	Temps imparti écouléS'évanouir 3 fois
00805	Face aux écailles explosives	Chasser 2 Bazelgeuse	Temps imparti écouléS'évanouir 3 fois
00806	Tonnerre sur le plateau	Abattre un Kirin	Temps imparti écouléS'évanouir 3 fois
00851	Mauvais présage	Abattre un Kushala Daora	Temps imparti écouléS'évanouir 3 fois
00861	Flambée ensablée	Abattre un Teostra	Temps imparti écouléS'évanouir 3 fois
00871	La foudre frappe deux fois	Abattre un Kirin	Temps imparti écouléS'évanouir 3 fois
00881	Depuis l'au-delà	Abattre un Vaal Hazak	Temps imparti écouléS'évanouir 3 fois
00891	Le dévoreur d'anciens	Tuer le Nergigante	Temps imparti écouléS'évanouir 3 fois
00892	Maître du vent	Abattre un Kushala Daora	Temps imparti écouléS'évanouir 3 fois
00893	Forteresse infernale	Abattre un Teostra	Temps imparti écouléS'évanouir 3 fois
00894	Le dévoreur d'anciens	Tuer le Nergigante	Temps imparti écouléS'évanouir 3 fois
00895	Les vents de la colère	Abattre un Kushala Daora	Temps imparti écouléS'évanouir 3 fois
00896	Les flammes de l'enfer	Abattre un Teostra	Temps imparti écouléS'évanouir 3 fois
00961	Face aux écailles explosives	Chasser 2 Bazelgeuse	Temps imparti écouléS'évanouir 3 fois
00971	Tonnerre sur le plateau	Tuer un Kirin	Temps imparti écouléS'évanouir 3 fois
00991	Une lueur sur la rivière morose	Abattre le Xeno'jiiva	Temps imparti écouléS'évanouir 3 fois
00992	Les vents blancs du Nouveau Monde	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
00995	Guidé par l'Étoile de saphir	Tuer tous les monstres	Temps imparti écouléS'évanouir 3 fois
00996	Duel : La boue et le maillet	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
00997	Ciel et fleur du Nouveau Monde	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
00998	Invocation d'outre-tombe	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
01101	Baptême par la glace	Chasser un Beotodus	Temps imparti écouléS'évanouir 3 fois
01102	Barrage Banbaro	Chasser un Banbaro	Temps imparti écouléS'évanouir 3 fois
01121	Plongée en neige profonde	Chasser un Beotodus	Temps imparti écouléS'évanouir 3 fois
01122	Par les cornes	Chasser un Banbaro	Temps imparti écouléS'évanouir 3 fois
01123	Complètement givré	Capturer un Beotodus	Temps imparti écouléS'évanouir 3 foisBeotodus tué
01124	L'appel de la nature	Tuer 10 Wulg	Temps imparti écouléS'évanouir 3 fois
01125	Bons baisers de la toundra	Livrer 20 jeunes pétasites	Temps imparti écouléS'évanouir 3 fois
01131	Arène spéciale : Pukei-Pukei	Chasser un Pukei-Pukei	Temps imparti écouléS'évanouir 3 fois
01132	Arène spéciale : Barroth	Chasser un Barroth	Temps imparti écouléS'évanouir 3 fois
01133	Arène spéciale : Tobi-Kadachi	Chasser un Tobi-Kadachi	Temps imparti écouléS'évanouir 3 fois
01134	Arène spéciale : Banbaro	Chasser un Banbaro	Temps imparti écouléS'évanouir 3 fois
01151	Le retour du Grand Jagras !	Chasser un Grand Jagras	Temps imparti écouléS'évanouir 3 fois
01152	Poison nostalgique	Chasser un Pukei-Pukei	Temps imparti écouléS'évanouir 3 fois
01153	Paresse infuse	Chasser un Tobi-Kadachi	Temps imparti écouléS'évanouir 3 fois
01154	Copie comique	Chasser un Kulu-Ya-Ku	Temps imparti écouléS'évanouir 3 fois
01155	Le déracineur	Capturer un Banbaro	Temps imparti écouléS'évanouir 3 foisBanbaro tué
01161	Partie de chasse dans le désert	Chasser un Kulu-Ya-Ku	Temps imparti écouléS'évanouir 3 fois
01162	Hou la gadoue !	Chasser un Barroth	Temps imparti écouléS'évanouir 3 fois
01163	Les pieds dans la boue	Chasser un Jyuratodus	Temps imparti écouléS'évanouir 3 fois
01164	Un appétit monstre	Chasser un Pukei-Pukei	Temps imparti écouléS'évanouir 3 fois
01171	Le petit oiseau va sortir !	Chasser un Tzitzi-Ya-Ku	Temps imparti écouléS'évanouir 3 fois
01181	Le Girros me monte au nez	Chasser un Grand Girros	Temps imparti écouléS'évanouir 3 fois
01191	La beauté est subjective	Chasser un Dodogama	Temps imparti écouléS'évanouir 3 fois
01192	Little Big Horn	Chasser un Banbaro	Temps imparti écouléS'évanouir 3 fois
01201	Le cerbère des neiges	Chasser un Tobi-Kadachi vipère	Temps imparti écouléS'évanouir 3 fois
01202	Pas le temps de dormir	Chasser un Paolumu belladone	Temps imparti écouléS'évanouir 3 fois
01203	Jouer sur les deux tableaux	Chasser un Pukei-Pukei corail	Temps imparti écouléS'évanouir 3 fois
01221	Morsure imminente	Chasser un Tobi-Kadachi vipère	Temps imparti écouléS'évanouir 3 fois
01222	Aux grands maux les grands remèdes	Capturer un Tobi-Kadachi vipère	Temps imparti écouléS'évanouir 3 foisTobi-Kadachi vipère tué
01223	Boa constrictor	Vaincre 14 Boaboa	Temps imparti écouléS'évanouir 3 fois
01224	Par nos pouvoirs unis	Chasser un Beotodus	Temps imparti écouléS'évanouir 3 fois
01225	Visite de courtoisie	Chasser un Beotodus	Temps imparti écouléS'évanouir 3 fois
01231	Arène spéciale : Anjanath	Chasser un Anjanath	Temps imparti écouléS'évanouir 3 fois
01232	Arène spéciale : Radobaan	Chasser un Radobaan	Temps imparti écouléS'évanouir 3 fois
01233	Arène spéciale : Pukei-Pukei corail	Chasser un Pukei-Pukei corail	Temps imparti écouléS'évanouir 3 fois
01234	Arène spéciale : Tobi-Kadachi vipère	Chasser un Tobi-Kadachi vipère	Temps imparti écouléS'évanouir 3 fois
01235	Arène spéciale : Rathian	Chasser une Rathian	Temps imparti écouléS'évanouir 3 fois
01236	Arène spéciale : Rathian sakura	Chasser une Rathian sakura	Temps imparti écouléS'évanouir 3 fois
01237	Arène spéciale : Paolumu	Chasser un Paolumu	Temps imparti écouléS'évanouir 3 fois
01238	Arène spéciale : Paolumu belladone	Chasser un Paolumu belladone	Temps imparti écouléS'évanouir 3 fois
01251	Attention danger !	Chasser un Anjanath	Temps imparti écouléS'évanouir 3 fois
01252	L'amour est aveugle	Chasser une Rathian	Temps imparti écouléS'évanouir 3 fois
01253	Bonne nuit les petits	Capturer un Paolumu belladone	Temps imparti écouléS'évanouir 3 foisPaolumu belladone tué
01261	Le repos d'une reine	Chasser une Rathian	Temps imparti écouléS'évanouir 3 fois
01262	Un regard cauchemardesque	Chasser un Paolumu belladone	Temps imparti écouléS'évanouir 3 fois
01263	Va donc voir ailleurs !	Chasser un Anjanath	Temps imparti écouléS'évanouir 3 fois
01264	Quintessence royale	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
01271	Vole Paolumu, vole !	Chasser un Paolumu	Temps imparti écouléS'évanouir 3 fois
01272	Pas de rose sans épines	Chasser une Rathian sakura	Temps imparti écouléS'évanouir 3 fois
01273	L'eau, c'est la vie	Chasser un Pukei-Pukei corail	Temps imparti écouléS'évanouir 3 fois
01274	À consommer avec modération	Chasser un Pukei-Pukei corail	Temps imparti écouléS'évanouir 3 fois
01281	La science dans la peau	Chasser un Radobaan	Temps imparti écouléS'évanouir 3 fois
01282	À fleurets mouchetés	Tuer tous les monstres	Temps imparti écouléS'évanouir 3 fois
01291	Une question de radiance	Livrer 20 ambres de Gaïa	Temps imparti écouléS'évanouir 3 fois
01301	Bizzard, blizzard	Chasser un Barioth	Temps imparti écouléS'évanouir 3 fois
01302	Ombre omniprésente	Chasser un Nargacuga	Temps imparti écouléS'évanouir 3 fois
01303	Marquage au fer rouge	Chasser un Glavenus	Temps imparti écouléS'évanouir 3 fois
01304	Pouvoir absolu	Chasser un Tigrex	Temps imparti écouléS'évanouir 3 fois
01305	Opération coup de poing	Chasser un Brachydios	Temps imparti écouléS'évanouir 3 fois
01306	La glace et le feu	Repousser le Velkhana	Temps imparti écouléS'évanouir 3 fois
01321	Souvenirs, souvenirs	Chasser un Barioth	Temps imparti écouléS'évanouir 3 fois
01322	Une chambre parfaite, partie 1	Capturer un Tigrex	Temps imparti écouléS'évanouir 3 foisTigrex tué
01323	Le preux chevalier blanc	Chasser un Barioth	Temps imparti écouléS'évanouir 3 fois
01331	Arène spéciale : Legiana	Chasser un Legiana	Temps imparti écouléS'évanouir 3 fois
01332	Arène spéciale : Odogaron	Chasser un Odogaron	Temps imparti écouléS'évanouir 3 fois
01333	Arène spéciale : Uragaan	Chasser un Uragaan	Temps imparti écouléS'évanouir 3 fois
01334	Arène spéciale : Rathalos	Chasser un Rathalos	Temps imparti écouléS'évanouir 3 fois
01335	Arène spéciale : Diablos	Chasser un Diablos	Temps imparti écouléS'évanouir 3 fois
01336	Arène spéciale : Barioth	Chasser un Barioth	Temps imparti écouléS'évanouir 3 fois
01337	Arène spéciale : Nargacuga	Chasser un Nargacuga	Temps imparti écouléS'évanouir 3 fois
01338	Arène spéciale : Glavenus	Chasser un Glavenus	Temps imparti écouléS'évanouir 3 fois
01339	Arène spéciale : Brachydios	Chasser un Brachydios	Temps imparti écouléS'évanouir 3 fois
01340	Arène spéciale : Tigrex	Chasser un Tigrex	Temps imparti écouléS'évanouir 3 fois
01351	Tomber du ciel	Chasser un Rathalos	Temps imparti écouléS'évanouir 3 fois
01352	Wyverne du vent	Chasser un Nargacuga	Temps imparti écouléS'évanouir 3 fois
01353	Une lame parfaite	Chasser un Glavenus	Temps imparti écouléS'évanouir 3 fois
01354	En rouge et noir	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
01361	Traversée du désert	Chasser un Diablos	Temps imparti écouléS'évanouir 3 fois
01362	Lame fatale	Chasser un Glavenus	Temps imparti écouléS'évanouir 3 fois
01363	En petits morceaux	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
01371	Legiana abandonné	Chasser un Legiana	Temps imparti écouléS'évanouir 3 fois
01372	Le vent noir	Chasser un Nargacuga	Temps imparti écouléS'évanouir 3 fois
01373	Le temps des malheurs	Chasser un Odogaron	Temps imparti écouléS'évanouir 3 fois
01381	Les yeux plus gros que le ventre	Chasser un Odogaron	Temps imparti écouléS'évanouir 3 fois
01382	Un rugissement dans le val	Chasser un Tigrex	Temps imparti écouléS'évanouir 3 fois
01383	Une course détonante	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
01391	Une rencontre explosive	Chasser un Brachydios	Temps imparti écouléS'évanouir 3 fois
01392	C'est du grand art	Chasser un Lavasioth	Temps imparti écouléS'évanouir 3 fois
01393	Qui sème le vent récolte l'Uragaan	Chasser un Uragaan	Temps imparti écouléS'évanouir 3 fois
01394	Un secret visqueux	Capturer un Brachydios	Temps imparti écouléS'évanouir 3 foisBrachydios tué
01395	Un festival explosif	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
01401	Autant en emporte la brume	Chasser un Legiana blizzard	Temps imparti écouléS'évanouir 3 fois
01402	Lame de désintégration	Chasser un Glavenus acide	Temps imparti écouléS'évanouir 3 fois
01403	Mauvais amis, bons ennemis	Chasser un Odogaron désastre	Temps imparti écouléS'évanouir 3 fois
01404	La défense de Seliana	Compléter la Mission	Temps imparti écouléS'évanouir 3 foisSeliana non défendue
01405	Fauteur de trouble tonitruant	Chasser un Anjanath tonnerre	Temps imparti écouléS'évanouir 3 fois
01421	Chasseur de glace	Chasser un Legiana blizzard	Temps imparti écouléS'évanouir 3 fois
01422	Zizanie dans la toundra	Chasser un Anjanath tonnerre	Temps imparti écouléS'évanouir 3 fois
01423	À deux, c'est mieux	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
01424	Trésor dans la vapeur	Livrer 2 geysérites	Temps imparti écouléS'évanouir 3 fois
01431	Arène spéciale : Rathalos azur	Chasser un Rathalos azur	Temps imparti écouléS'évanouir 3 fois
01432	Arène spéciale : Diablos noire	Chasser une Diablos noire	Temps imparti écouléS'évanouir 3 fois
01433	Arène spéciale : Glavenus acide	Chasser un Glavenus acide	Temps imparti écouléS'évanouir 3 fois
01434	Arène spéciale : Odogaron désastre	Chasser un Odogaron désastre	Temps imparti écouléS'évanouir 3 fois
01435	Arène spéciale : Anjanath tonnerre	Chasser un Anjanath tonnerre	Temps imparti écouléS'évanouir 3 fois
01451	Les yeux azur voient tout	Chasser un Rathalos azur	Temps imparti écouléS'évanouir 3 fois
01452	Malchance forestière	Chasser un Odogaron désastre	Temps imparti écouléS'évanouir 3 fois
01461	Un amour imaginaire	Chasser une Diablos noire	Temps imparti écouléS'évanouir 3 fois
01462	Noir c'est noir	Chasser une Diablos noire	Temps imparti écouléS'évanouir 3 fois
01471	Offense ténébreuse	Chasser un Odogaron désastre	Temps imparti écouléS'évanouir 3 fois
01481	Cette lame rongée	Chasser un Glavenus acide	Temps imparti écouléS'évanouir 3 fois
01482	Une chambre parfaite, partie 2	Capturer un Glavenus acide	Temps imparti écouléS'évanouir 3 foisGlavenus acide tué
01483	Une chambre parfaite, partie 3	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
01491	Le blues du Rathalos bleu	Chasser un Rathalos azur	Temps imparti écouléS'évanouir 3 fois
01492	Il y a de l'orage dans l'air	Capturer un Anjanath tonnerre	Temps imparti écouléS'évanouir 3 foisAnjanath tonnerre tué
01501	La wyverne de glace	Tuer un Velkhana	Temps imparti écouléS'évanouir 3 fois
01502	Une impression de déjà-vu	Chasser un Bazelgeuse vulcan	Temps imparti écouléS'évanouir 3 fois
01503	Sous le voile de la mort	Tuer un Vaal Hazak fléau	Temps imparti écouléS'évanouir 3 fois
01504	La lueur des abysses	Tuer un Namielle	Temps imparti écouléS'évanouir 3 fois
01521	Fracas d'épées sur le givre	Tuer un Velkhana	Temps imparti écouléS'évanouir 3 fois
01551	Le messager des cieux	Abattre un Kushala Daora	Temps imparti écouléS'évanouir 3 fois
01552	Quand la mort frappe à la porte	Tuer un Vaal Hazak fléau	Temps imparti écouléS'évanouir 3 fois
01561	Audience royale sur le sable	Abattre un Teostra	Temps imparti écouléS'évanouir 3 fois
01562	Le banquet du tyran	Chasser un Deviljho carnage	Temps imparti écouléS'évanouir 3 fois
01571	La foudre frappe	Tuer un Kirin	Temps imparti écouléS'évanouir 3 fois
01572	Souvenirs du Dieu de la mer	Tuer un Namielle	Temps imparti écouléS'évanouir 3 fois
01581	Le dévoreur de mort	Tuer un Vaal Hazak fléau	Temps imparti écouléS'évanouir 3 fois
01591	Les ailes du vent	Abattre un Kushala Daora	Temps imparti écouléS'évanouir 3 fois
01592	La marque du soleil	Abattre un Teostra	Temps imparti écouléS'évanouir 3 fois
01593	Bouillonnant de colère	Chasser un Bazelgeuse vulcan	Temps imparti écouléS'évanouir 3 fois
01594	Une chambre parfaite, partie 4	Capturer un Bazelgeuse vulcan	Temps imparti écouléS'évanouir 3 foisBazelgeuse vulcan tué
01601	L'ode aux élus	Compléter la mission	Temps imparti écouléS'évanouir 3 fois
01602	Le dernier chant	Compléter la mission	Temps imparti écouléS'évanouir 3 fois
01603	Sommeil de feu	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
01604	Branle-bas de combat	Chasser tous les monstres	Temps imparti écouléS'évanouir 3 fois
01605	Qui s'y frotte s'y pique	Abattre un Nergigante chaos	Temps imparti écouléS'évanouir 3 fois
01606	Le retour du monstre fou	Chasser un Yian Garuga	Temps imparti écouléS'évanouir 3 fois
