Food Code	Food Name	Food Desc
MEAT_21_ID	Горячее сердце	Животная пища. Активирует гастронавыкисмекалки. Обладает уникальной текстуройи подается очень горячим.
MEAT_22_ID	Жирный огузок	Животная пища. Активирует гастронавыкисмекалки. Исключительно жирныйи очень ценный кусок мяса.
MEAT_23_ID	Фуагра	Животная пища. Активирует гастронавыкисмекалки. Пользуется спросомблагодаря нежной текстуре и богатому вкусу.
MEAT_24_ID	Индейка-несушка	Животная пища. Активирует гастронавыкиартиллерии. К сожалению,костей тут больше, чем мяса.
MEAT_25_ID	Отличная баранина	Животная пища. Активирует гастронавыкиартиллерии. Универсальное мясоиспользуется в разных блюдах.
MEAT_26_ID	Яйцо травоядного	Животная пища. Активирует гастронавыкиартиллерии. Омлетом из такогояйца можно накормить несколько голодных семей.
MEAT_27_ID	Королевская индейка	Животная пища. Активирует гастронавыкиартиллерии. Вполне оправдывает свое название.Индейка-несушка с ней и не сравнится.
MEAT_28_ID	Бурлящая баранина	Животная пища. Активирует гастронавыкиартиллерии. Чем дольше тушитсяэта баранина, тем она вкуснее.
MEAT_29_ID	Индейка Кайзера	Животная пища. Активирует гастронавыкиартиллерии. Невероятно сочная и насыщенная.Королевская индейка меркнет в сравнении.
FISH_00_ID	Гривастый тунец	Рыбное блюдо. Активирует гастронавыкиотваги. Славится потрясающим вкусом инеобычной формой спинного плавника.
FISH_01_ID	Волнистый лосось	Рыбное блюдо. Активирует гастронавыкиотваги. Изогнутый и извивающийся угорь большепохож на змею, чем на рыбу.
FISH_02_ID	Отважный угорь	Рыбное блюдо. Активирует гастронавыкиотваги. Один укус — и вас переполнит отвага.
FISH_03_ID	Рыба-суши	Рыбное блюдо. Активирует гастронавыкиотваги. Вкусная и умеренно жирная.Популярна во всем мире.
FISH_04_ID	Древний морской окунь	Рыбное блюдо. Активирует гастронавыкиотваги. Изысканная рыба с древних временсчитается деликатесом.
FISH_05_ID	Грубый желтохвост	Рыбное блюдо. Активирует гастронавыки отваги.Эту рыбу часто критикуют за внешний вид.На самом же деле это воплощение отваги.
FISH_06_ID	Гигантский моллюск	Рыбное блюдо. Активирует гастронавыкистойкости. Чем больше панцирь, тем выше цена.
FISH_07_ID	Устричные чипсы	Рыбное блюдо. Активирует гастронавыкистойкости. Устриц сушат для консервации. Кроме того, из них получается вкусный суп.
FISH_08_ID	Избранный абалон	Рыбное блюдо. Активирует гастронавыкистойкости. Идеальный размер и вкус.
FISH_09_ID	Фиолетовый абалон	Рыбное блюдо. Активирует гастронавыкистойкости. Помимо необычного цветаобладает необычным вкусом и ароматом.
FISH_10_ID	Бесценный абалон	Рыбное блюдо. Активирует гастронавыкистойкости. Деликатес среди деликатесов.
FISH_11_ID	Рогатый тюрбан	Рыбное блюдо. Активирует гастронавыкистойкости. Биологам до сих пор не удалосьвыяснить назначение этих крупных рогов.
FISH_12_ID	Стайная сардина	Рыбное блюдо. Активирует гастронавыкитонуса. Эти рыбы собираются в стаии защищают свою территорию.
FISH_13_ID	Самурайский тунец	Рыбное блюдо. Активирует гастронавыкитонуса. Характерный узор на головенапоминает самурайский шлем.
FISH_14_ID	Жабры гаджау	Рыбное блюдо. Активирует гастронавыкитонуса. Готовить приходится долго,но ожидание определенно того стоит.
FISH_15_ID	Печень гаджау	Рыбное блюдо. Активирует гастронавыкитонуса. Жирная, вкусная и питательная.
FISH_16_ID	Тунец сегуна	Рыбное блюдо. Активирует гастронавыкитонуса. Узор на теле внешненапоминает самурайский доспех.
FISH_17_ID	Огненный морской окунь	Рыбное блюдо. Активирует гастронавыкитонуса. Эта ярко-красная рыба выглядиттак, словно все время горит.
FISH_18_ID	Изогнутая креветка	Рыбное блюдо. Активирует гастронавыкисмекалки. Из-за характерной формытела эту креветку очень неудобно есть.
FISH_19_ID	Бронированный краб	Рыбное блюдо. Активирует гастронавыкисмекалки. Панцирь этого ракообразногопохож на рыцарские латы. И так же прочен.
FISH_20_ID	Коралловая креветка	Рыбное блюдо. Активирует гастронавыкисмекалки. Маленькая креветкас восхитительным розовым панцирем.
FISH_21_ID	Крепостной краб	Рыбное блюдо. Активирует гастронавыкисмекалки. Живет в панцире симбионта,благодаря чему кажется больше, чем на самом деле.
FISH_22_ID	Королевская креветка	Рыбное блюдо. Активирует гастронавыкисмекалки. Настоящая королевакреветок — величественная и властная.
FISH_23_ID	Тысячелетний краб	Рыбное блюдо. Активирует гастронавыкисмекалки. Говорят, этот величественныйкраб может прожить тысячу лет.
FISH_24_ID	Костяной осьминог	Рыбное блюдо. Активирует гастронавыкиартиллерии. Твердый, но хрупкий.Есть его — словно жевать кость.
FISH_25_ID	Розовая икра	Рыбное блюдо. Активирует гастронавыкиартиллерии. Ярко-розовые рыбьияйца, слегка подсоленные.
FISH_26_ID	Лиловый кальмар	Рыбное блюдо. Активирует гастронавыкиартиллерии. После трапезы можетвнезапно наступить озарение.
FISH_27_ID	Осьминог-балерина	Рыбное блюдо. Активирует гастронавыкиартиллерии. Во время приготовления егощупальца извиваются, как ноги танцора.
FISH_28_ID	Изысканная икра	Рыбное блюдо. Активирует гастронавыкиартиллерии. Это изысканное лакомствоникого не оставит равнодушным.
FISH_29_ID	Царственный кальмар	Рыбное блюдо. Активирует гастронавыкиартиллерии. Кальмар, чей размер простообязывает его быть правителем хоть чего-нибудь.
VEGE_00_ID	Чудо-сельдерей	Растительное блюдо. Активирует гастронавыкиотваги. Вкус специфический, но, еслираспробуете, уже не сможете без него жить.
VEGE_01_ID	Пройдоха	Растительное блюдо. Активирует гастронавыкиотваги. Его едят сырым, и вкус у него такойрезкий, что даже девильо прослезился бы.
VEGE_02_ID	Самоцветный кактус	Растительное блюдо. Активирует гастронавыкиотваги. Большой, сочный и мясистый.
VEGE_03_ID	Драконий цветок	Растительное блюдо. Активирует гастронавыкиотваги. Плоды этого растения прочнее чешуи виверны.
VEGE_04_ID	Королевский кактус	Растительное блюдо. Активирует гастронавыкиотваги. Кактус высочайшего, почтикоролевского качества.
VEGE_05_ID	Мясистый помидор	Растительное блюдо. Активирует гастронавыкиотваги. Этот помидор — настоящий деликатес.Сочный и сладкий.
VEGE_06_ID	Каменная кукуруза	Растительное блюдо. Активирует гастронавыкистойкости. Кукурузный початок, для очисткикоторого требуется нечеловеческая сила.
VEGE_07_ID	Твердая картошка	Растительное блюдо. Активирует гастронавыкистойкости. Крепкие запутанные корнипревращают сбор урожая в настоящую пытку.
VEGE_08_ID	Изысканный гриб	Растительное блюдо. Активирует гастронавыкистойкости. Восхитительные грибы, передкоторыми не могут устоять даже опытные повара.
VEGE_09_ID	Лунный гриб	Растительное блюдо. Активирует гастронавыкистойкости. Испускает слабый белый свет.
VEGE_10_ID	Духовный гриб	Растительное блюдо. Активирует гастронавыкистойкости. Излучает свет, который иначе какпотусторонним не назвать.
VEGE_11_ID	Грязный гриб	Растительное блюдо. Активирует гастронавыкистойкости. Встречаются крайне редко.Когда-то и вовсе считались вымыслом.
VEGE_12_ID	Пухлая тыква	Растительное блюдо. Активирует гастронавыкитонуса. Тыква внушительных размерови идеальных пропорций. Вкус значения не имеет.
VEGE_13_ID	Зверский лук	Растительное блюдо. Активирует гастронавыкитонуса. Резкий вкус и грубый внешний видполностью оправдывают его название.
VEGE_14_ID	Солнечный цветок	Растительное блюдо. Активирует гастронавыкитонуса. Дивный аромат мгновеннонапоминает о теплых лучах летнего солнца.
VEGE_15_ID	Солнечная трава	Растительное блюдо. Активирует гастронавыкитонуса. Считается, что эта траваобладает исключительными медицинскими свойствами.
VEGE_16_ID	Золотой цветок	Растительное блюдо. Активирует гастронавыкитонуса. Прекрасный цветок буквальноизлучает золотистый свет.
VEGE_17_ID	Королевский трюфель	Растительное блюдо. Активирует гастронавыкитонуса. Крохотной порции хватит, чтобыпридать дивный аромат любому блюду.
VEGE_18_ID	Душистый сельдерей	Растительное блюдо. Активирует гастронавыкисмекалки. Аромат сильнозависит от способа приготовления.
VEGE_19_ID	Призматическая паприка	Растительное блюдо. Активирует гастронавыкисмекалки. Цвет меняется в зависимостиот способа приготовления
VEGE_20_ID	Нечистый фрукт	Растительное блюдо. Активирует гастронавыкисмекалки. Фрукт, созревший,несмотря на суровые условия, в Гнилой долине.
VEGE_21_ID	Небесная ягода	Растительное блюдо. Активирует гастронавыкисмекалки. Обладает поистине райским вкусом.
VEGE_22_ID	Неземной фрукт	Растительное блюдо. Активирует гастронавыкисмекалки. Обладает чарующим,практически неземным ароматом.
VEGE_23_ID	Многослойная капуста	Растительное блюдо. Активирует гастронавыкисмекалки. Бесчисленные слои листьевсоздают удивительную текстуру.
VEGE_24_ID	Бобы тюк-тю	Растительное блюдо. Активирует гастронавыкиартиллерии. Одного острого бобахватит, чтобы изрыгать пламя, словно йан-тюк-тю.
VEGE_25_ID	Огненное манго	Растительное блюдо. Активирует гастронавыкиартиллерии. Если это манго сорвать, онобыстро дозреет и еще долго будет излучать тепло.
VEGE_26_ID	Каменный плод	Растительное блюдо. Активирует гастронавыкиартиллерии. Фрукт с плотной,почти каменной кожицей.
VEGE_27_ID	Божественное яблоко	Растительное блюдо. Активирует гастронавыкиартиллерии. Тропический фрукт,который не так просто вырастить.
VEGE_28_ID	Дикий плод	Растительное блюдо. Активирует гастронавыкиартиллерии. Его дикий вкуспопулярен среди гурманов.
VEGE_29_ID	Изумрудный дуриан	Растительное блюдо. Активирует гастронавыкиартиллерии. Редкий фрукт, которыйблестит, как изумруд, а стоит еще дороже.
LIQUOR_00_ID	Картофельная брага	Крепкий напиток. Активирует гастронавыкивосприятия. Легко запомнить, легко пить.
LIQUOR_01_ID	Драконий эль	Крепкий напиток. Активирует гастронавыкивосприятия. Достаточно крепкий, чтобысвалить виверну. Как именно это выясняли — загадка.
LIQUOR_02_ID	Демоническое пиво	Крепкий напиток. Активирует гастронавыкивосприятия. Достаточно горький, чтобыпрожечь дыру в брюхе девильо.
LIQUOR_03_ID	Янтарный эль виверны	Крепкий напиток. Активирует гастронавыкивосприятия. Насыщенный ароматныйнапиток.
LIQUOR_04_ID	Пиво золотой рыбки	Крепкий напиток. Активирует гастронавыкивосприятия. Это пиво найти крайне сложно.Достать его — большая удача.
LIQUOR_05_ID	Саке убийцы драконов	Крепкий напиток. Активирует гастронавыкивосприятия. Рисовое вино, котороеперегоняется традиционным способом.Образцовое саке.
LIQUOR_06_ID	Пиво охотника	Крепкий напиток. Активирует гастронавыкиудачи. Отлично освежает последолгой охоты.
LIQUOR_07_ID	Звездный бренди	Крепкий напиток. Активирует гастронавыкиудачи. На этикетке красуется сапфироваязвезда — символ Экспедиции.
LIQUOR_08_ID	Мастерский эль	Крепкий напиток. Активирует гастронавыкиудачи. Этот бархатистый напиток изобжаренного хмеля снискал любовь ценителей пива.
LIQUOR_09_ID	Виски Рата	Крепкий напиток. Активирует гастронавыкиудачи. Виски выдерживают в бочках,обожженных огненным дыханием раталоса.
LIQUOR_10_ID	Пиво Астеры	Крепкий напиток. Активирует гастронавыкиудачи. Пиво, которое пьют члены Экспедиции.Идеально для торжественных тостов.
LIQUOR_11_ID	Благословенное вино	"Крепкий напиток. Активирует гастронавыкиудачи. Занимает первое место в рейтингенапитков журнала ""Охотник и винодел""."
LIQUOR_12_ID	Глоток великого шипа	Алкоголь, помогающий активировать гастронавыкиготовки. Сделан из порошка рогов животныхМорозного простора.
LIQUOR_13_ID	Эль удачи	Алкоголь, помогающий активировать гастронавыкиготовки. Традиционно подносится дляпожелания удачного пути.
LIQUOR_14_ID	Сливочное пиво	Алкоголь, помогающий активировать гастронавыкиготовки. Крепкое варево из свежего белокопытника с Простора.
LIQUOR_15_ID	Медовуха	Алкоголь, помогающий активировать гастронавыкиготовки. Отборные натуральные ингредиенты этого напитка прогревают тело до костей.
LIQUOR_16_ID	Чарующий аламбик	Алкоголь, помогающий активировать гастронавыкиготовки. Фруктовый аромат этого напитка завораживает любого, кто его вдохнет.
LIQUOR_17_ID	Текила безумцев	Алкоголь, помогающий активировать гастронавыкиготовки. Невероятно крепкий напиток, который любятотчаянные охотники-сорвиголовы.
LIQUOR_18_ID	Ледниковая водка	Алкоголь, помогающий активировать гастронавыкиноватора. Продвинутая водка со льдом,теперь подаваемая в столовой с целой сосулькой.
LIQUOR_19_ID	Праздничная текила	Алкоголь, помогающий активировать гастронавыкиноватора. Праздничный винтаж, которым отмечаютудачную охоту и другие праздники.
LIQUOR_20_ID	Талый бокал	Алкоголь, помогающий активировать гастронавыкиноватора. Этот традиционный для тостов после боя напитокобладает чистым вкусом талого снега.
LIQUOR_21_ID	Морозная шипучка	Алкоголь, помогающий активировать гастронавыкиноватора. Элитный напиток подается на серебристых обломках суперплотного льда.
LIQUOR_22_ID	Хрустальный глоток	Алкоголь, помогающий активировать гастронавыкиноватора. Нежный и настолько чистый, что кажется, будто пузырьки пляшут в пустом стакане.
LIQUOR_23_ID	Обжигающий спирт	Алкоголь, помогающий активировать гастронавыкиноватора. Один глоток этого крепкого варева прогревает от макушки до пяток.
