Quest ID	Quest Name	Quest Target	Fail Condition
00433	Спецарена: паолуму	Убить паолуму.	Завершение срокаТроекратный обморок
00434	Спецарена: радобаан	Убить радобаана.	Завершение срокаТроекратный обморок
00451	Чертовски сильный насморк	Выследить аньяната.	Завершение срокаТроекратный обморок
00452	Яичница в лесу	Доставьте 2 яйца виверны.	Завершение срокаТроекратный обморок
00461	Королевская перестановка	Выследить ратиану.	Завершение срокаТроекратный обморок
00471	Рыдающий шамос	Убить 11 шамосов.	Завершение срокаТроекратный обморок
00472	Цици для научных целей	Выследить цици-йа-ку.	Завершение срокаТроекратный обморок
00473	Прости, тебя не пригласили	Выследить паолуму.	Завершение срокаТроекратный обморок
00474	Груда абалонов	Доставьте 10 суперабалонов.	Завершение срокаТроекратный обморок
00475	Белая шкура белого зверя	Поймать паолуму.	Завершение срокаТроекратный обморокПаолуму убит
00481	Неугомонные вредители	Убить 14 роготавров.	Завершение срокаТроекратный обморок
00482	Нечистые намерения	Выследить большого гирроса.	Завершение срокаТроекратный обморок
00483	Есть что не поделить	Выследить радобаана.	Завершение срокаТроекратный обморок
00484	На крыльях кошмара	Убить 5 рафиносов.	Завершение срокаТроекратный обморок
00501	Вглубь долины	Выполнить задание.	Завершение срокаТроекратный обморок
00502	Пламенный трон над лесом	Выследить раталоса	Завершение срокаТроекратный обморок
00503	Рогатый тиран под песками	Выследить диаблоса	Завершение срокаТроекратный обморок
00504	Колоссальная задача	Выполнить задание.	Завершение срокаТроекратный обморокДзора Магдарос упущен
00531	Спецарена: легиана	Убить легиану.	Завершение срокаТроекратный обморок
00532	Спецарена: одогарон	Убить одогарона.	Завершение срокаТроекратный обморок
00533	Спецарена: раталос	Убить раталоса.	Завершение срокаТроекратный обморок
00534	Спецарена: диаблос	Убить диаблоса.	Завершение срокаТроекратный обморок
00551	От желания к одержимости	Выследить раталоса.	Завершение срокаТроекратный обморок
00552	"Взгляд на ""звездную пару"""	Выследить все цели.	Завершение срокаТроекратный обморок
00561	Два шпиля над песком	Выследить диаблоса.	Завершение срокаТроекратный обморок
00571	Мигрень от сырости	Выследить легиану.	Завершение срокаТроекратный обморок
00572	Молниеносное исчезновение	Убить кирина.	Завершение срокаТроекратный обморок
00581	Страшный зуд	Выследить одогарона.	Завершение срокаТроекратный обморок
00582	Лучший враг человека	Поймать одогарона.	Завершение срокаТроекратный обморокОдогарон убит
00583	Суть проблемы	Доставьте 2 куска мяса.	Завершение срокаТроекратный обморок
00601	Вторжение в Дикогорье	Выследить поки-поки.	Завершение срокаТроекратный обморок
00605	Розовое счастье	Выследить аньяната.	Завершение срокаТроекратный обморок
00607	Древний монстр в Новом Свете	Выполнить задание.	Завершение срокаТроекратный обморок
00631	Спецарена: поки-поки ВР	Убить поки-поки.	Завершение срокаТроекратный обморок
00632	Спецарена: баррот ВР	Убить баррота.	Завершение срокаТроекратный обморок
00633	Спецарена: тоби-кадачи ВР	Убить тоби-кадачи.	Завершение срокаТроекратный обморок
00634	Спецарена: аньянат ВР	Убить аньяната.	Завершение срокаТроекратный обморок
00635	Спецарена: ратиана ВР	Убить ратиану.	Завершение срокаТроекратный обморок
00636	Спецарена: паолуму ВР	Убить паолуму.	Завершение срокаТроекратный обморок
00637	Спецарена: радобаан ВР	Убить радобаана.	Завершение срокаТроекратный обморок
00641	Сильное впечатление	Перенаправить Дзору Магдароса.	Завершение срокаТроекратный обморокДзора Магдарос упущен
00651	Такое сложно переварить	Выследить большого яграса.	Завершение срокаТроекратный обморок
00652	Пучеглазое зеленое чудовище	Выследить поки-поки.	Завершение срокаТроекратный обморок
00653	Волосы дыбом	Выследить тоби-кадачи.	Завершение срокаТроекратный обморок
00654	Ты не движешься — я не вижу	Выследить аньяната.	Завершение срокаТроекратный обморок
00655	Спящая королева леса	Выследить ратиану.	Завершение срокаТроекратный обморок
00656	Ступор	Поймать тоби-кадачи.	Завершение срокаТроекратный обморокТоби-кадачи убит
00661	Руки не распускать!	Выследить кулу-йа-ку.	Завершение срокаТроекратный обморок
00662	Корона из грязи и ярости	Выследить баррота.	Завершение срокаТроекратный обморок
00663	Засада на поки-поки	Выследить поки-поки.	Завершение срокаТроекратный обморок
00665	По пояс в отбросах	Выследить юратода.	Завершение срокаТроекратный обморок
00666	Зеленая королева пустыни	Выследить ратиану.	Завершение срокаТроекратный обморок
00667	Беспокойный нарушитель	Выследить аньяната.	Завершение срокаТроекратный обморок
00671	Улыбочку!	Выследить цици-йа-ку.	Завершение срокаТроекратный обморок
00672	Ловушка для паолуму	Выследить паолуму.	Завершение срокаТроекратный обморок
00681	Резкий вкус	Выследить большого гирроса.	Завершение срокаТроекратный обморок
00682	Застрять в колее	Выследить радобаана.	Завершение срокаТроекратный обморок
00683	Задание шефа! Срочная доставка	Доставьте 4 забыт. окаменелости.	Завершение срокаТроекратный обморок
00684	Задание шефа! Испорченный заказ	Убить 10 гирросов.	Завершение срокаТроекратный обморок
00691	Мяу о помощи	Убить 13 гастодонов.	Завершение срокаТроекратный обморок
00692	Жаркое дельце	Убить 5 барносов.	Завершение срокаТроекратный обморок
00693	Драма с додогамой	Выследить додогаму.	Завершение срокаТроекратный обморок
00694	Задание шефа! Капкан для гаялака	Убейте 10 гаялака.	Завершение срокаТроекратный обморок
00701	Рана и жажда	Убить нергиганта.	Завершение срокаТроекратный обморок
00731	Спецарена: р. ратиана ВР	Убить розовую ратиану.	Завершение срокаТроекратный обморок
00732	Спецарена: легиана ВР	Убить легиану.	Завершение срокаТроекратный обморок
00733	Спецарена: одогарон ВР	Убить одогарона.	Завершение срокаТроекратный обморок
00734	Спецарена: урагаан ВР	Убить урагаана.	Завершение срокаТроекратный обморок
00735	Спецарена: раталос ВР	Убить раталоса.	Завершение срокаТроекратный обморок
00736	Спецарена: л. раталос ВР	Убить лазурного раталоса.	Завершение срокаТроекратный обморок
00737	Спецарена: диаблос ВР	Убить диаблоса.	Завершение срокаТроекратный обморок
00738	Спецарена: черная диаблос ВР	Убить черную диаблос.	Завершение срокаТроекратный обморок
00751	Реванш раталоса	Выследить раталоса.	Завершение срокаТроекратный обморок
00752	Раталосы в синем	Выследить лазурного раталоса.	Завершение срокаТроекратный обморок
00753	Синий и красный 	Выследить все цели.	Завершение срокаТроекратный обморок
00761	Крошка в розовом	Выследить розовую ратиану.	Завершение срокаТроекратный обморок
00762	Ох уж эти диаблос!	Выследить диаблоса.	Завершение срокаТроекратный обморок
00763	Двурогий неприятель	Выследить черную диаблос.	Завершение срокаТроекратный обморок
00764	Разборки в Дикогорье!	Выследить все цели.	Завершение срокаТроекратный обморок
00771	Вишневый ветер над рифами	Выследить розовую ратиану.	Завершение срокаТроекратный обморок
00772	Легиана: королева нагорья	Выследить легиану.	Завершение срокаТроекратный обморок
00773	Печальное зрелище	Выследить одогарона.	Завершение срокаТроекратный обморок
00774	Когти свирепого льда	Выследить все цели.	Завершение срокаТроекратный обморок
00781	Одогарон на свободе	Выследить одогарона.	Завершение срокаТроекратный обморок
00791	Лавасиот, чудовище из магмы	Выследить лавасиота.	Завершение срокаТроекратный обморок
00792	Пожиратель руды	Выследить урагаана.	Завершение срокаТроекратный обморок
00793	Правитель лазурных небес	Выследить лазурного раталоса.	Завершение срокаТроекратный обморок
00794	Базельгейс на огненном поле	Выследить базельгейса.	Завершение срокаТроекратный обморок
00795	Огненное единство	Выследить все цели.	Завершение срокаТроекратный обморок
00801	Кушала-даора, стальной дракон	Убить кушала-даору.	Завершение срокаТроекратный обморок
00802	Адский теостра	Убить теостру.	Завершение срокаТроекратный обморок
00803	Ваал-хазак, демон из ада	Убить ваал-хазака.	Завершение срокаТроекратный обморок
00804	Земля схождений	Выполнить задание.	Завершение срокаТроекратный обморок
00805	За взрывающейся чешуей	Выследить двух базельгейсов.	Завершение срокаТроекратный обморок
00806	Грозовой рокот в нагорье	Убить кирина.	Завершение срокаТроекратный обморок
00851	Предзнаменование катастрофы	Убить кушала-даору.	Завершение срокаТроекратный обморок
00861	Огонь на песке	Убить теостру.	Завершение срокаТроекратный обморок
00871	Молния, которая бьет дважды	Убить кирина.	Завершение срокаТроекратный обморок
00881	Движение в могиле	Убить ваал-хазака.	Завершение срокаТроекратный обморок
00891	Пожиратель древних	Убить нергиганта.	Завершение срокаТроекратный обморок
00892	Повелитель бури	Убить кушала-даору.	Завершение срокаТроекратный обморок
00893	Цитадель адского пламени	Убить теостру.	Завершение срокаТроекратный обморок
00894	Пожиратель древних	Убить нергиганта.	Завершение срокаТроекратный обморок
00895	Пронзающий ветер гнева	Убить кушала-даору.	Завершение срокаТроекратный обморок
00896	Пронзающее адское пламя	Убить теостру.	Завершение срокаТроекратный обморок
00961	За взрывающейся чешуей	Выследить 2 базельгейсов	Завершение срокаТроекратный обморок
00971	Грозовой рокот в нагорье	Убейте кирина	Завершение срокаТроекратный обморок
00991	Свет над речным мраком	Убить ксено'джииву.	Завершение срокаТроекратный обморок
00992	Белые ветры Нового Света	Выследить все цели.	Завершение срокаТроекратный обморок
00995	Сапфировая путеводная звезда	Убить все цели.	Завершение срокаТроекратный обморок
00996	Кувалда против навоза	Выследить все цели.	Завершение срокаТроекратный обморок
00997	Новый Свет, новый мир	Выследить все цели.	Завершение срокаТроекратный обморок
00998	Зов из глубины	Выследить все цели.	Завершение срокаТроекратный обморок
01101	Крещение льдом	Выследить беотода	Завершение срокаТроекратный обморок
01102	Блокада банбаро	Выследить банбаро	Завершение срокаТроекратный обморок
01121	Снежный ныряльщик	Выследить беотода	Завершение срокаТроекратный обморок
01122	Взять быка за рога	Выследить банбаро	Завершение срокаТроекратный обморок
01123	Ледяной улов	Поймать беотода	Завершение срокаТроекратный обморокБеотод убит
01124	Зов природы	Убить 10 вальгов	Завершение срокаТроекратный обморок
01125	Привет из тундры	Доставить 20 молодых белокопытников	Завершение срокаТроекратный обморок
01131	Спецарена: поки-поки, РМ	Выследить поки-поки	Завершение срокаТроекратный обморок
01132	Спецарена: баррот, РМ	Выследить баррота	Завершение срокаТроекратный обморок
01133	Спецарена: тоби-кадачи, РМ	Выследить тоби-кадачи	Завершение срокаТроекратный обморок
01134	Спецарена: банбаро, РМ	Выследить банбаро	Завершение срокаТроекратный обморок
01151	Большой яграс возвращается!	Выследить большого яграса	Завершение срокаТроекратный обморок
01152	Проблемы Нового Света	Выследить поки-поки	Завершение срокаТроекратный обморок
01153	Вокруг да около	Выследить тоби-кадачи	Завершение срокаТроекратный обморок
01154	Кража искусства	Выследить кулу-йа-ку	Завершение срокаТроекратный обморок
01155	Поимка сокрушителя деревьев	Поймать банбаро	Завершение срокаТроекратный обморокБанбаро убит
01161	Охота за сокровищами Дикогорья	Выследить кулу-йа-ку	Завершение срокаТроекратный обморок
01162	Прямо в грязь	Выследить баррота	Завершение срокаТроекратный обморок
01163	Юратод на пути	Выследить юратода	Завершение срокаТроекратный обморок
01164	Дегустация	Выследить поки-поки	Завершение срокаТроекратный обморок
01171	Неверные сигналы	Выследить цици-йа-ку	Завершение срокаТроекратный обморок
01181	Проблемы с гирросом	Выследить большого гирроса	Завершение срокаТроекратный обморок
01191	Как себя заставить	Выследить додогаму	Завершение срокаТроекратный обморок
01192	Большие рога у нас в почете!	Выследить банбаро	Завершение срокаТроекратный обморок
01201	Режим готовности	Выследить аспидового тоби-кадачи	Завершение срокаТроекратный обморок
01202	На сон нет времени	Выследить ночного паолуму	Завершение срокаТроекратный обморок
01203	Натравливание	Выследить кораллового поки-поки	Завершение срокаТроекратный обморок
01221	"Операция ""Паралич"""	Выследить аспидового тоби-кадачи	Завершение срокаТроекратный обморок
01222	Яд и паралич	Поймать аспидового тоби-кадачи	Завершение срокаТроекратный обморокАспидовый тоби-кадачи убит
01223	Боа-боа-констриктор	Победить 14 боа-боа	Завершение срокаТроекратный обморок
01224	Совместными усилиями	Выследить беотода	Завершение срокаТроекратный обморок
01225	Ты поможешь нам, а мы...	Выследить беотода	Завершение срокаТроекратный обморок
01231	Спецарена: аньянат, РМ	Выследить аньяната	Завершение срокаТроекратный обморок
01232	Спецарена: радобаан, РМ	Выследить радобаана	Завершение срокаТроекратный обморок
01233	Спецарена: коралловый поки-поки, РМ	Выследить кораллового поки-поки	Завершение срокаТроекратный обморок
01234	Спецарена: аспидовый тоби-кадачи, РМ	Выследить аспидового тоби-кадачи	Завершение срокаТроекратный обморок
01235	Спецарена: ратиана, РМ	Выследить ратиану	Завершение срокаТроекратный обморок
01236	Спецарена: розовая ратиана, РМ	Выследить розовую ратиану	Завершение срокаТроекратный обморок
01237	Спецарена: паолуму, РМ	Выследить паолуму	Завершение срокаТроекратный обморок
01238	Спецарена: ночной паолуму, РМ	Выследить ночного паолуму	Завершение срокаТроекратный обморок
01251	Проделки аньяната	Выследить аньяната	Завершение срокаТроекратный обморок
01252	Дурацкий мат	Выследить ратиану	Завершение срокаТроекратный обморок
01253	Спокойной ночи, паолуму	Поймать ночного паолуму	Завершение срокаТроекратный обморокНочной паолуму убит
01261	Настоящая королева	Выследить ратиану	Завершение срокаТроекратный обморок
01262	Лицо из кошмаров	Выследить ночного паолуму	Завершение срокаТроекратный обморок
01263	Не суй свой нос в чужой вопрос	Выследить аньяната	Завершение срокаТроекратный обморок
01264	Слова драчуньи	Выследить все цели	Завершение срокаТроекратный обморок
01271	Полезные паолуму	Выследить паолуму	Завершение срокаТроекратный обморок
01272	Власть в розовых тонах	Выследить розовую ратиану	Завершение срокаТроекратный обморок
01273	Совет: пей больше воды	Выследить кораллового поки-поки	Завершение срокаТроекратный обморок
01274	Убери эту красную чашу	Выследить кораллового поки-поки	Завершение срокаТроекратный обморок
01281	Вовсе не смешно	Выследить радобаана	Завершение срокаТроекратный обморок
01282	Отжучитесь, жуки!	Убить все цели	Завершение срокаТроекратный обморок
01291	В поисках мерцания	Доставить 20 янтарей геи	Завершение срокаТроекратный обморок
01301	Морозный блиц	Выследите бариота	Завершение срокаТроекратный обморок
01302	Вездесущая тень	Выследите наргакугу	Завершение срокаТроекратный обморок
01303	Палящий клинок	Выследите главенуса	Завершение срокаТроекратный обморок
01304	Абсолютная власть	Выследите тигрекса	Завершение срокаТроекратный обморок
01305	Ответный удар сплеча	Выследите брахидиоса	Завершение срокаТроекратный обморок
01306	Сказ о льде и пламени	Прогоните велхану	Завершение срокаТроекратный обморок
01321	Помнишь, как в тот раз?..	Выследите бариота	Завершение срокаТроекратный обморок
01322	Изумяутельная комната: камень	Поймайте тигрекса	Завершение срокаТроекратный обморокТигрекс убит
01323	Славный белый рыцарь	Выследите бариота	Завершение срокаТроекратный обморок
01331	Спецарена: легиана, РМ	Выследите легиану	Завершение срокаТроекратный обморок
01332	Спецарена: одогарон, РМ	Выследите одогарона	Завершение срокаТроекратный обморок
01333	Спецарена: урагаан, РМ	Выследите урагаана	Завершение срокаТроекратный обморок
01334	Спецарена: раталос, РМ	Выследите раталоса	Завершение срокаТроекратный обморок
01335	Спецарена: диаблос, РМ	Выследите диаблос	Завершение срокаТроекратный обморок
01336	Спецарена: бариот, РМ	Выследите бариота	Завершение срокаТроекратный обморок
01337	Спецарена: наргакуга, РМ	Выследите наргакугу	Завершение срокаТроекратный обморок
01338	Спецарена: главенус, РМ	Выследите главенуса	Завершение срокаТроекратный обморок
01339	Спецарена: брахидиос, РМ	Выследите брахидиоса	Завершение срокаТроекратный обморок
01340	Спецарена: тигрекс, РМ	Выследите тигрекса	Завершение срокаТроекратный обморок
01351	Недостойное поведение	Выследите раталоса	Завершение срокаТроекратный обморок
01352	Охота на наргакугу	Выследите наргакугу	Завершение срокаТроекратный обморок
01353	Секрет хорошей нарезки	Выследите главенуса	Завершение срокаТроекратный обморок
01354	Красный и черный тузы	Выследить все цели	Завершение срокаТроекратный обморок
01361	Линия на песке	Выследите диаблос	Завершение срокаТроекратный обморок
01362	Вспышка на клинке	Выследите главенуса	Завершение срокаТроекратный обморок
01363	Мелко рубим и тушим!	Выследить все цели	Завершение срокаТроекратный обморок
01371	Заблудшая легиана	Выследите легиану	Завершение срокаТроекратный обморок
01372	Черный ветер	Выследите наргакугу	Завершение срокаТроекратный обморок
01373	Скверная рана	Выследите одогарона	Завершение срокаТроекратный обморок
01381	Вегетарианец поневоле	Выследите одогарона	Завершение срокаТроекратный обморок
01382	Рев, потрясший долину	Выследите тигрекса	Завершение срокаТроекратный обморок
01383	Беги, катись и плачь	Выследить все цели	Завершение срокаТроекратный обморок
01391	Дрожит земля!	Выследите брахидиоса	Завершение срокаТроекратный обморок
01392	Критиканство	Выследите лавасиота	Завершение срокаТроекратный обморок
01393	Дуй отсюда, урагаан	Выследите урагаана	Завершение срокаТроекратный обморок
01394	Тайна слизи	Поймайте брахидиоса	Завершение срокаТроекратный обморокБрахидиос убит
01395	Фестиваль взрывов	Выследить все цели	Завершение срокаТроекратный обморок
01401	Когда ты скроешься в тумане	Выследите визжащую легиану	Завершение срокаТроекратный обморок
01402	Разрушительный клинок	Выследите кислотного главентуса	Завершение срокаТроекратный обморок
01403	Плохие друзья, хорошие враги	Выследите эбенового одогарона	Завершение срокаТроекратный обморок
01404	Оборона Селианы	Выполните задание	Завершение срокаТроекратный обморокВы не защитили Селиану
01405	Грозовой и грозный	Выследите громового аньяната	Завершение срокаТроекратный обморок
01421	Страж морозной стужи	Выследите визжащую легиану	Завершение срокаТроекратный обморок
01422	Нарушитель покоя в тундре	Выследите громового аньяната	Завершение срокаТроекратный обморок
01423	Заиндевелая пара	Выследить все цели	Завершение срокаТроекратный обморок
01424	Паровое сокровище	Доставьте 2 камня горячего источника	Завершение срокаТроекратный обморок
01431	Спецарена: лазурный раталос, РМ	Выследите лазурного раталоса	Завершение срокаТроекратный обморок
01432	Спецарена: черная диаблос, РМ	Выследите черную диаблос	Завершение срокаТроекратный обморок
01433	Спецарена: кислотный главенус, РМ	Выследите кислотного главенуса	Завершение срокаТроекратный обморок
01434	Спецарена: эбеновый одогарон, РМ	Выследите эбенового одогарона	Завершение срокаТроекратный обморок
01435	Спецарена: громовой аньянат, РМ	Выследите громового аньяната	Завершение срокаТроекратный обморок
01451	Эти лазурные глаза видят все	Выследите лазурного раталоса	Завершение срокаТроекратный обморок
01452	Неприятности в лесу	Выследите эбенового одогарона	Завершение срокаТроекратный обморок
01461	Под горячую руку	Выследите черную диаблос	Завершение срокаТроекратный обморок
01462	Пронизывающая чернота	Выследите черную диаблос	Завершение срокаТроекратный обморок
01471	В тени угрозы	Выследите эбенового одогарона	Завершение срокаТроекратный обморок
01481	Заржавевший клинок	Выследите кислотного главенуса	Завершение срокаТроекратный обморок
01482	Изумяутельная комната: свет. железо	Поймайте кислотного главенуса	Завершение срокаТроекратный обморокКислотный главенус убит
01483	Изумяутельная комната: темное железо	Выследить все цели	Завершение срокаТроекратный обморок
01491	Блюз в стиле раталоса	Выследите лазурного раталоса	Завершение срокаТроекратный обморок
01492	Ловля грозовой челюсти	Поймайте громового аньяната	Завершение срокаТроекратный обморокГромовой аньянат убит
01501	Порождение холода	Убейте велхану	Завершение срокаТроекратный обморок
01502	Второе пришествие	Выследите вспыльчивого базельгейса	Завершение срокаТроекратный обморок
01503	Под покровом смерти	Убейте тленного ваал-хазака	Завершение срокаТроекратный обморок
01504	Свет из бездны	Убейте намиэля	Завершение срокаТроекратный обморок
01521	Дуэль среди мороза	Убейте велхану	Завершение срокаТроекратный обморок
01551	Предвестник ясного неба	Убейте кушала-даору	Завершение срокаТроекратный обморок
01552	Смерть на пороге	Убейте тленного ваал-хазака	Завершение срокаТроекратный обморок
01561	Император пустыни	Убейте теостру	Завершение срокаТроекратный обморок
01562	Банкет тирана	Выследите лютого девильо	Завершение срокаТроекратный обморок
01571	Сверкнула молния	Убить кирина	Завершение срокаТроекратный обморок
01572	Повелитель морей	Убейте намиэля	Завершение срокаТроекратный обморок
01581	Моя загробная жизнь	Убейте тленного ваал-хазака	Завершение срокаТроекратный обморок
01591	Крылья ветра	Убейте кушала-даору	Завершение срокаТроекратный обморок
01592	Метка солнца	Убейте теостру	Завершение срокаТроекратный обморок
01593	Пылая от ярости	Выследите вспыльчивого базельгейса	Завершение срокаТроекратный обморок
01594	Изумяутельная комната: серебро	Поймайте вспыльчивого базельгейса	Завершение срокаТроекратный обморокВспыльчивый базельгейс убит
01601	Хвалебная песнь	Выполните задание	Завершение срокаТроекратный обморок
01602	Песнь покровительства	Выполните задание	Завершение срокаТроекратный обморок
01603	Сладкий сон в объятьях пламени	Выследить все цели	Завершение срокаТроекратный обморок
01604	Большая заварушка	Выследить все цели	Завершение срокаТроекратный обморок
01605	Вместе до самого конца	Убейте нергиганта-губителя	Завершение срокаТроекратный обморок
01606	Возвращение безумной	Выследите йан-гаругу	Завершение срокаТроекратный обморок
01631	Мы правим этим городом	Выследить все цели	Завершение срокаТроекратный обморок
01632	Спецарена: зиногр, РМ	Выследите зиногра	Завершение срокаТроекратный обморок
01633	Спецарена: йан-гаруга, РМ	Выследите йан-гаругу	Завершение срокаТроекратный обморок
01634	Спецарена: свирепый тигрекс, РМ	Выследите свирепого тигрекса	Завершение срокаТроекратный обморок
01635	Спецарена: золотая ратиана, РМ	Выследите золотую ратиану	Завершение срокаТроекратный обморок
01636	Спецарена: серебристый раталос, РМ	Выследите серебристого раталоса	Завершение срокаТроекратный обморок
01641	Дух темных вод	Убейте шара-ишвалду	Завершение срокаТроекратный обморок
01642	Гимн луны и солнца	Выследить все цели	Завершение срокаТроекратный обморок
01651	Буря с неожиданной развязкой	Убить все цели	Завершение срокаТроекратный обморок
01661	Жаркая ночь в Дикогорье	Убейте лунастру	Завершение срокаТроекратный обморок
01671	Божественный импульс	Убить все цели	Завершение срокаТроекратный обморок
01691	Под сводами огненного дворца	Убейте лунастру	Завершение срокаТроекратный обморок
01692	Мастер-охотник Нового Света	Убить все цели	Завершение срокаТроекратный обморок
03001	Задание на арене 02	Убить кулу-йа-ку.	Завершение срокаДевятикратный обморок
03002	Задание на арене 03	Убить ратиану.	Завершение срокаДевятикратный обморок
03031	Задание на арене 04	Убить цици-йа-ку.	Завершение срокаДевятикратный обморок
03032	Задание на арене 05	Убить баррота.	Завершение срокаДевятикратный обморок
03033	Задание на арене 06	Убить додогаму.	Завершение срокаДевятикратный обморок
03034	Задание на арене 07	Убить лазурного раталоса.	Завершение срокаДевятикратный обморок
03051	Задание на арене 08	Убить все цели.	Завершение срокаДевятикратный обморок
03052	Задание на арене 09	Убить все цели.	Завершение срокаДевятикратный обморок
03071	Задание мастера арены 02	Убейте ночного паолуму	Завершение срокаДевятикратный обморок
03072	Задание мастера арены 03	Убейте наргакугу	Завершение срокаДевятикратный обморок
03073	Задание мастера арены 04	Убейте кислотного главенуса	Завершение срокаДевятикратный обморок
03074	Задание мастера арены 05	Убить все цели	Завершение срокаДевятикратный обморок
03091	Задание мастера арены 06	Убейте зиногра	Завершение срокаДевятикратный обморок
03092	Задание мастера арены 07	Убить все цели	Завершение срокаДевятикратный обморок
03101	Задание на арене 01	Убить поки-поки.	Завершение срокаДевятикратный обморок
03171	Задание мастера арены 01	Убейте банбаро	Завершение срокаДевятикратный обморок
05003	Беспокойные Кочевники	Выследить 2 цици-йа-ку.	Завершение срокаТроекратный обморок
0	Invalid Message	Invalid Message	Invalid Message
30000	Unavailable	Unavailable	Unavailable
30001	Unavailable	Unavailable	Unavailable
30002	Unavailable	Unavailable	Unavailable
30003	Unavailable	Unavailable	Unavailable
30004	Unavailable	Unavailable	Unavailable
30005	Unavailable	Unavailable	Unavailable
30006	Unavailable	Unavailable	Unavailable
30007	Unavailable	Unavailable	Unavailable
30008	Unavailable	Unavailable	Unavailable
30009	Unavailable	Unavailable	Unavailable
50601	Гость из другого мира	Выполнить задание.	Завершение срокаТроекратный обморок
50701	Вершина пищевой цепочки	Выследить девильо.	Завершение срокаТроекратный обморок
50702	Invalid Message	Invalid Message	Invalid Message
50751	Блюдо дня: охотник фламбе	Выследить девильо.	Завершение срокаТроекратный обморок
50801	Пылающее солнце	Убить теостру	Завершение срокаТроекратный обморок
50802	Арена Пандоры	Выполните задание	Завершение срокаТроекратный обморок
50803	Никакой пощады, ни шагу назад	Убить все цели	Завершение срокаТроекратный обморок
50831	Unavailable	Unavailable	Unavailable
50861	Адская монархия	Убить все цели.	Завершение срокаТроекратный обморок
50891	Синий пик	Убить лунастру	Завершение срокаТроекратный обморок
50892	Синий пик	Убить лунастру	Завершение срокаТроекратный обморок
50901	Банкет в землянке	Отразить атаку кулве тарот.	Завершение срокаТроекратный обморок
50902	Ярость Эльдорадо	Отразить атаку кулве тарот	Завершение срокаТроекратный обморок
50905	Легендарный зверь	Выполнить задание.	Завершение срокаДевятикратный обморок
