Gallery ID	Gallery Name	Gallery Desc
EVC1001	Отбытия и открытия	Экспедиция решила преследовать стаю легианна своем воздушном корабле. Чтоже ожидает их на другом берегу моря?
EVC1040	Белый мир	Мир ослепительного снега ожидает<LSNR {охотника}{охотницу}> и Проводника, впервыевступивших на только что открытую землю.
EVC1002	Тень в сугробах	Поиски места для приземления корабляпродолжаются, но на подходящей площадкевиднеются странные следы на снегу.
EVC1003	Селиана	Воздушный корабль приземлился на толькочто зачищенном участке, и под началомкомандира началось строительство базы.
EVC1004	Земля Вечного Льда	Нетронутая земля, многие столетияскованная льдом. Что ожидает здесь <LSNR {охотника}{охотницу}>?
EVC1005	Буйство банбаро	Команда пытается обезопасить маршрут длякаравана во время исследования Морозногопростора, но наткнулась на завал.
EVC1006	Селиана набирает обороты	Прибытие материалов вдохнуло новую жизнь встроительство Селианы, и командирполевого отряда собирает всех на совещание.
EVC1007	Затаившийся аспид	Когда команда исследовала Внутренние земли,к ней присоединилась Следопыт, но в густойтени их поджидал аспидовый тоби-кадачи.
EVC1008	Корабль, застывший во времени	В Морозном просторе обнаружен разбившийсякорабль. Когда и почему это судноприбыло на эти берега?
EVC1009	Сонная осада	Вскоре после того, как охотник прибываетв Дикогорье, чтобы изучить замеченныйтам новый подвид, его одолевает дремота...
EVC1010	Поток неприятностей	Шамос кружит вокруг кораллового поки-поки,который посягнул на его территорию,но новичок не обращает на него внимание.
EVC1011	Зверь за метелью	Охотник направляется в Морозный просторв поисках Проводника и Следопыта и находитсовершенно замерзших крылатых виверн.
EVC1012	Порождение холода	Как только проводник и следопыт сообщилио своих находках, послышалось странноепение и началась лютая метель.
EVC1013	Быстрая тень	Исследование <LSNR {охотника}{охотницы}> в Древнем лесупрерывает нападение наргакуги.А потом появляется еще и раталос...
EVC1014	Закаленный в бою клинок	Ратиана возвращается в гнездо зализыватьраны. Тем временем к <LSNR {охотнику}{охотнице}> подкрадываетсякое-кто еще более злобный.
EVC1015	Сопротивление живых	<LSNR {Охотник}{Охотница}> и проводник возвращаются вАстеру и находят огромногозамерзшего аньяната.
EVC1016	Гром в ущелье	Путь радобаана пересекся с жестокимпадальщиком-тигрексом, но звери быстроразбираются, кто из них главнее.
EVC1017	Склизкая угроза	Пятна выжженной земли в Убежище Древнегопривели <LSNR {охотника}{охотницу}> к брахидиосу,с ног до головы покрытому зеленой слизью.
EVC1018	Лунный камень	Проводник осматривает подарок от дедушки —по его словам, это камень с луны.Какие тайны он может скрывать?
EVC1019	Абсолютный ноль	Покрытая ледяной броней велхана однимдыханием замораживает землю, а взмах еекрыла порождает страшную метель.
EVC1020	Морозные объятия	Легиана погибает от удара <LSNR {охотника}{охотницы}>,но тело Древнего дракона окружает зловещееоблако смертоносного холода.
EVC1021	По остывшему следу	Неразлучная пара отправляется в Морозныйпростор вслед за велханой. Но от следопытавсе еще нет вестей...
EVC1022	Унаследованное желание	Неразлучная парочка провожает следопыта вбезопасное место. Опытная охотница узнает взаплаканном лице проводника себя.
EVC1025	Кислотные разборки	Стая гирросов окружила кислотного главенуса,но каждый взмах острого хвоста отправляетих в полет.
EVC1026	Стычка хищников	Стоило рыщущему по Коралловому нагорьюодогарону положить глаз на <LSNR {охотника}{охотницу}>,как за спиной противников раздался вой.
EVC1027	Защита Селианы	Отражайте атаки злобной велханы,пока драконобойцу не подготовят к стрельбе!Судьба Селианы в ваших руках!
EVC1028	Переход в наступление	Вся Селиана ликует, ведь велхану удалосьпрогнать, но командир полевого отрядауже думает о будущем.
EVC1029	В конце боя	<LSNR {Охотник}{Охотница}> следует за велханойв Морозный простор. Что же готовит<LSNR {ему}{ей}> судьба?
EVC1030	Неестественные бедствия	Велхана повержена, и тайна осколкараскрыта. Но всеобщее ликование прерываютмрачные вести от искателя.
EVC1031	Тень грядущих бедствий	<LSNR {Охотник}{Охотница}> находит шипы нергигантав Убежище Древнего и едва не погибаетпод раскаленным градом.
EVC1032	Тленный ваал-хазак	По Древнему лесу бродит страшныйваал-хазак, и деревья чахнут в зловещейпелене миазмов.
EVC1033	Свет из бездны	Внимание <LSNR {охотника}{охотницы}> привлекает взмахпереливающихся всеми цветами радугикрыльев, а затем еще и поток воды...
EVC1034	Вперед, без всяких сомнений	На борт воздушного корабля поднимаетсякоманда, ищущая Старого Змея, но следопыта,поклявшейся его найти, среди них нет.
EVC1035	Старый Змей	<LSNR {Охотнику}{Охотнице}> удалось одержать победу наднергигантом, но зловещая песня предвещаетпоявление Старого Змея.
EVC1036	Мощь природы	<LSNR {Охотник}{Охотница}> гордо стоит над поверженнойшара-ишвалдой, но природа прибереглав рукаве еще один сюрприз...
EVC1037	Луна и Сапфировая звезда	Экспедиция обсуждает поиски,начавшиеся с исхода легиан, и закончившиесяраскрытием Старого Змея.
EVC1038	Бесконечный поиск	Теперь, когда долгое ночное празднествоокончено, Экспедиция обращает свой взорна следующее расследование.
EVC1041	Вперед, в Путеводные земли	Преследуя нергиганта, командазабрела в колыбель жизни Нового Света,где встречаются самые разные виды.
EVC1042	Меж двух огней	Во время исследования Путеводных земель<LSNR {охотник}{охотница}> встречает рой грозовых жуков,раталоса и нечто куда опаснее.
EVC1043	Это моя территория!	Когда йан-гаруга, яростно защищающаятерриторию, встречает голодного девильо,<LSNR {охотник}{охотница}> попадает меж двух огней.
EVC1044	Таящаяся сила	Адмирал вместо со светлячками исследуетПутеводные земли и доходит до гигантской стены.Но за ней находится новая страшная угроза!
EVC1045	Яростный раянг	На границе вулканического региона Путеводных земель<LSNR {охотник}{охотница}> обнаруживает кирина. Но киринвынужден скрываться там не из-за <LSNR {охотника}{охотницы}>...
EVC1046	Новая тундра	<LSNR {Охотник}{Охотница}> открывает новую местностьв Путеводных землях и обнаруживает на снегунезнакомые следы...
EVC1047	Корень всех проблем	Команда во главе с адмиралом и виверианскимохотником выяснила, что за недавнимисобытиями стоит не кто иной, как...
EVC1048	Идеальное создание	Зло из глубин окидывает стоящиеперед ним крошечные жизнисвирепым взглядом.
EVC1052	Возвращение сафи'джиивы	Зло из глубин возвращается, и этомукраю остается лишь положитьсяна Сапфировую звезду.
EVC1050	Аватара земли	Старый Змей воет из самого сердцаВечноречья. Облаченный в камень, онсотрясает землю каждым движением.
